Timestamp,Time,Error,Status_1,Status_2,Status_3,Status_4,V_alt_1,V_alt_2,V_alt_3,V_alt_4,V_rad_1,V_rad_2,V_rad_3,V_rad_4,WV_rad_1,WV_rad_2,WV_rad_3,WV_rad_4,WV_credit_1,WV_credit_2,WV_credit_3,WV_credit_4,V_inst_1,V_inst_2,V_inst_3,V_inst_4,V_earth_1,V_earth_2,V_earth_3,V_earth_4,WV_inst_1,WV_inst_2,WV_inst_3,WV_inst_4,WV_earth_1,WV_earth_2,WV_earth_3,WV_earth_4,Roll,Pitch,Heading,Altitude,Temperature,Pressure,Salinity,Sound_Speed
1764074522818306214,2025-11-25 18:12:02.817,0X0000,1,1,1,1,1.2,1.2,1.2,1.2,-2.1,0.4,2.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.9,0.3,0.2,1.0,-5.4,-2.3,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.47,0.44,25.8,1.2,20.6,65.882,35.0,1523.0
1764074523163701047,2025-11-25 18:12:03.162,0X0000,1,1,1,1,1.2,1.2,1.2,1.2,-1.3,0.6,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.9,0.8,0.4,1.0,-4.8,-1.4,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,0.43,25.8,1.2,20.6,65.882,35.0,1523.0
1764074523512937769,2025-11-25 18:12:03.512,0X0000,1,1,1,1,1.2,1.2,1.2,1.2,-2.9,0.0,1.4,-1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7,1.9,-0.8,1.0,-6.0,-0.8,-0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.52,0.45,25.9,1.2,20.6,65.882,35.0,1523.0
1764074523857740677,2025-11-25 18:12:03.857,0X0000,1,1,1,1,1.2,1.2,1.2,1.2,-1.5,0.5,2.0,-0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.7,1.7,0.0,1.0,-5.0,-0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,0.45,25.9,1.2,20.6,65.882,35.0,1523.0
1764074524213328139,2025-11-25 18:12:04.210,0X0000,1,1,1,1,1.2,1.2,1.2,1.2,-1.6,1.0,2.3,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.2,1.5,0.4,1.0,-5.3,-0.9,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.51,0.42,26.0,1.2,20.6,65.882,35.0,1523.0
1764074524551919065,2025-11-25 18:12:04.550,0X0000,1,1,1,1,1.2,1.2,1.2,1.2,-1.4,1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.9,1.3,0.3,1.0,-4.1,-0.5,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.48,0.43,26.0,1.2,20.6,65.882,35.0,1523.0
1764074524897803602,2025-11-25 18:12:04.896,0X0000,1,1,1,1,1.2,1.2,1.2,1.2,-1.6,0.3,2.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.8,1.1,0.0,1.0,-4.8,-1.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.53,0.38,26.1,1.2,20.6,65.882,35.0,1523.0
1764074525248690842,2025-11-25 18:12:05.247,0X0000,1,1,1,1,1.2,1.2,1.2,1.2,-0.9,1.0,2.8,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.9,1.5,0.7,1.0,-5.1,-0.8,0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.54,0.44,26.1,1.2,20.6,65.882,35.0,1523.0
1764074525594941916,2025-11-25 18:12:05.593,0X0000,1,1,1,1,1.2,1.2,1.2,1.2,-1.3,0.1,1.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.1,0.8,-0.2,1.0,-3.1,-0.7,-0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.51,0.45,26.2,1.2,20.6,65.882,35.0,1523.0
1764074525940872361,2025-11-25 18:12:05.940,0X0000,1,1,1,1,1.2,1.2,1.2,1.2,-1.5,0.7,1.6,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.1,1.5,0.1,1.0,-4.3,-0.5,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,0.46,26.3,1.2,20.6,65.882,35.0,1523.0
