Timestamp,Time,Latitude,Longitude,Altitude,Horizontal_Accuracy,Vertical_Accuracy
1764074527180735175,2025-11-25 18:12:07.170,23.535444500,87.300838667,84.30,0.009,0.050
1764074528179367544,2025-11-25 18:12:08.171,23.535444500,87.300838667,84.30,0.009,0.050
1764074529175141933,2025-11-25 18:12:09.170,23.535444667,87.300838500,84.30,0.009,0.050
1764074530173331358,2025-11-25 18:12:10.171,23.535444500,87.300838500,84.30,0.009,0.050
1764074531152394450,2025-11-25 18:12:11.150,23.535444500,87.300838500,84.30,0.009,0.050
1764074532172171301,2025-11-25 18:12:12.170,23.535444500,87.300838500,84.30,0.009,0.050
1764074533172648171,2025-11-25 18:12:13.171,23.535444500,87.300838500,84.20,0.009,0.050
1764074534173546152,2025-11-25 18:12:14.171,23.535444500,87.300838500,84.20,0.009,0.050
1764074535173008670,2025-11-25 18:12:15.171,23.535444500,87.300838500,84.20,0.009,0.050
1764074536174040206,2025-11-25 18:12:16.171,23.535444500,87.300838667,84.20,0.009,0.050
1764074537172714891,2025-11-25 18:12:17.171,23.535444500,87.300838667,84.20,0.009,0.050
1764074538171272131,2025-11-25 18:12:18.170,23.535444500,87.300838667,84.20,0.009,0.050
1764074539171265704,2025-11-25 18:12:19.170,23.535444500,87.300838667,84.20,0.009,0.050
1764074540172786056,2025-11-25 18:12:20.171,23.535444500,87.300838667,84.20,0.009,0.050
1764074541172665018,2025-11-25 18:12:21.170,23.535444500,87.300838667,84.20,0.009,0.050
1764074542172135388,2025-11-25 18:12:22.170,23.535444500,87.300838833,84.20,0.009,0.050
1764074543172609906,2025-11-25 18:12:23.171,23.535444500,87.300838833,84.20,0.009,0.050
1764074544172571239,2025-11-25 18:12:24.170,23.535444500,87.300838833,84.10,0.009,0.050
1764074545171769497,2025-11-25 18:12:25.170,23.535444500,87.300838667,84.10,0.009,0.050
1764074546173255960,2025-11-25 18:12:26.171,23.535444333,87.300838667,84.10,0.009,0.050
1764074547172103422,2025-11-25 18:12:27.170,23.535444333,87.300838500,84.10,0.009,0.050
1764074548172277292,2025-11-25 18:12:28.170,23.535444333,87.300838500,84.20,0.009,0.050
1764074549153813791,2025-11-25 18:12:29.151,23.535444333,87.300838333,84.20,0.009,0.050
1764074550172569753,2025-11-25 18:12:30.170,23.535444167,87.300838333,84.20,0.009,0.050
1764074551172709105,2025-11-25 18:12:31.171,23.535444167,87.300838333,84.20,0.009,0.050
1764074552171964882,2025-11-25 18:12:32.170,23.535444000,87.300838167,84.20,0.009,0.050
1764074553172722974,2025-11-25 18:12:33.171,23.535444000,87.300838167,84.20,0.009,0.050
1764074554171303751,2025-11-25 18:12:34.170,23.535443833,87.300838167,84.20,0.009,0.050
1764074555171743769,2025-11-25 18:12:35.170,23.535443833,87.300838167,84.20,0.009,0.050
1764074556172430694,2025-11-25 18:12:36.171,23.535443833,87.300838167,84.20,0.009,0.050
1764074557172142786,2025-11-25 18:12:37.170,23.535443667,87.300838000,84.20,0.009,0.050
1764074558172742175,2025-11-25 18:12:38.171,23.535443667,87.300837833,84.20,0.009,0.050
1764074559172298730,2025-11-25 18:12:39.170,23.535443667,87.300837833,84.30,0.009,0.050
1764074560172237248,2025-11-25 18:12:40.170,23.535443667,87.300837833,84.30,0.009,0.050
1764074561172128821,2025-11-25 18:12:41.170,23.535443667,87.300837667,84.30,0.009,0.050
1764074562172683543,2025-11-25 18:12:42.171,23.535443667,87.300837833,84.30,0.009,0.050
1764074563172167190,2025-11-25 18:12:43.170,23.535443500,87.300837833,84.30,0.009,0.050
1764074564193769856,2025-11-25 18:12:44.192,23.535443667,87.300837833,84.30,0.009,0.050
1764074565172748856,2025-11-25 18:12:45.171,23.535443667,87.300837833,84.30,0.009,0.050
1764074566172609466,2025-11-25 18:12:46.171,23.535443667,87.300837833,84.30,0.009,0.050
1764074567154829540,2025-11-25 18:12:47.152,23.535443500,87.300837833,84.30,0.009,0.050
1764074568172735595,2025-11-25 18:12:48.170,23.535443500,87.300838000,84.30,0.009,0.050
1764074569172332835,2025-11-25 18:12:49.170,23.535443667,87.300838000,84.30,0.009,0.050
