Timestamp,Time,Roll,Pitch,Yaw,Magnetic_Field_X,Magnetic_Field_Y,Magnetic_Field_Z,Angular_Rate_X,Angular_Rate_Y,Angular_Rate_Z,Acceleration_X,Acceleration_Y,Acceleration_Z
1764074529475306395,2025-11-25 18:12:09.464,-1.359000,1.775000,37.359000,0.279700,-0.165200,0.154100,0.316000,0.244000,-10.097000,-0.000250,-0.000296,0.003177
1764074529487081007,2025-11-25 18:12:09.480,-1.358000,1.776000,37.367000,0.280700,-0.161400,0.153100,0.313000,0.239000,-10.105000,0.000705,-0.000548,0.004654
1764074529503696840,2025-11-25 18:12:09.496,-1.359000,1.777000,37.370000,0.281600,-0.160500,0.149900,0.337000,0.253000,-10.135000,-0.000507,0.000029,0.003966
1764074529514526988,2025-11-25 18:12:09.510,-1.360000,1.778000,37.373000,0.277900,-0.165200,0.153000,0.281000,0.244000,-10.114000,-0.000059,0.000549,0.004311
1764074529526845821,2025-11-25 18:12:09.522,-1.359000,1.777000,37.380000,0.277000,-0.164200,0.150800,0.324000,0.220000,-10.075000,-0.000341,-0.000847,0.006018
1764074529536754395,2025-11-25 18:12:09.534,-1.359000,1.774000,37.385000,0.282400,-0.164300,0.150000,0.321000,0.257000,-10.112000,-0.000186,0.000031,0.003555
1764074529546058081,2025-11-25 18:12:09.543,-1.358000,1.774000,37.391000,0.280600,-0.164300,0.148800,0.290000,0.231000,-10.053000,0.000358,-0.001637,0.003490
1764074529560829432,2025-11-25 18:12:09.557,-1.359000,1.771000,37.399000,0.280500,-0.168200,0.151000,0.337000,0.240000,-10.103000,-0.000465,-0.002780,0.006397
1764074529589285988,2025-11-25 18:12:09.583,-1.360000,1.768000,37.405000,0.280600,-0.164300,0.155200,0.270000,0.268000,-10.126000,-0.000732,-0.002134,0.004240
1764074529613259210,2025-11-25 18:12:09.610,-1.361000,1.764000,37.412000,0.278700,-0.169100,0.150900,0.324000,0.226000,-10.081000,-0.001147,-0.002554,0.004120
1764074529641151155,2025-11-25 18:12:09.638,-1.361000,1.760000,37.420000,0.279700,-0.167200,0.153100,0.323000,0.245000,-10.103000,0.000126,-0.002295,0.005118
1764074529664008006,2025-11-25 18:12:09.660,-1.361000,1.756000,37.426000,0.277800,-0.169100,0.149800,0.291000,0.267000,-10.084000,-0.000005,-0.002214,0.005120
1764074529685881673,2025-11-25 18:12:09.683,-1.362000,1.752000,37.434000,0.279600,-0.168100,0.152000,0.318000,0.241000,-10.133000,0.000406,-0.003209,0.003751
1764074529713026821,2025-11-25 18:12:09.709,-1.362000,1.749000,37.442000,0.279800,-0.162400,0.150900,0.303000,0.253000,-10.102000,-0.000037,-0.001464,0.006280
1764074529736660895,2025-11-25 18:12:09.732,-1.362000,1.747000,37.447000,0.279600,-0.167200,0.147700,0.304000,0.243000,-10.144000,-0.000195,-0.001266,0.003489
1764074529760808321,2025-11-25 18:12:09.758,-1.363000,1.744000,37.451000,0.280600,-0.167200,0.149900,0.295000,0.231000,-10.130000,-0.001355,-0.001633,0.003861
1764074529785509303,2025-11-25 18:12:09.782,-1.363000,1.743000,37.458000,0.279800,-0.161400,0.148800,0.270000,0.260000,-10.144000,-0.000245,-0.000924,0.004669
1764074529813706303,2025-11-25 18:12:09.810,-1.363000,1.742000,37.466000,0.281500,-0.165300,0.145700,0.333000,0.265000,-10.128000,0.000471,-0.000420,0.004040
1764074529843159914,2025-11-25 18:12:09.837,-1.363000,1.742000,37.474000,0.280600,-0.167200,0.151000,0.288000,0.221000,-10.161000,-0.000141,-0.000962,0.005786
1764074529862526636,2025-11-25 18:12:09.858,-1.362000,1.742000,37.480000,0.281500,-0.165300,0.148900,0.305000,0.244000,-10.107000,0.000357,0.000136,0.006125
1764074529885379284,2025-11-25 18:12:09.882,-1.362000,1.741000,37.486000,0.280600,-0.165300,0.149900,0.317000,0.265000,-10.112000,-0.000714,0.001319,0.004071
1764074529911217877,2025-11-25 18:12:09.908,-1.363000,1.742000,37.491000,0.280800,-0.157500,0.155200,0.308000,0.249000,-10.126000,-0.000805,0.000861,0.006207
1764074529937529117,2025-11-25 18:12:09.934,-1.363000,1.743000,37.491000,0.280500,-0.170100,0.148900,0.332000,0.255000,-10.152000,0.000882,0.001296,0.004945
1764074529961698469,2025-11-25 18:12:09.959,-1.363000,1.745000,37.498000,0.277900,-0.165200,0.148700,0.292000,0.265000,-10.114000,-0.000580,0.001761,0.003813
1764074529988459562,2025-11-25 18:12:09.985,-1.361000,1.749000,37.501000,0.279700,-0.165300,0.148800,0.306000,0.212000,-10.155000,0.000187,0.001849,0.005774
1764074530014794154,2025-11-25 18:12:10.010,-1.359000,1.750000,37.507000,0.281500,-0.166200,0.155300,0.332000,0.240000,-10.139000,0.000499,0.001454,0.004117
1764074530079528747,2025-11-25 18:12:10.077,-1.358000,1.757000,37.522000,0.280600,-0.166200,0.148800,0.323000,0.199000,-10.143000,-0.000114,0.001180,0.005084
1764074530088993488,2025-11-25 18:12:10.086,-1.357000,1.760000,37.528000,0.279600,-0.167200,0.148800,0.305000,0.259000,-10.107000,0.001381,0.002633,0.003929
1764074530113122321,2025-11-25 18:12:10.110,-1.356000,1.762000,37.533000,0.282400,-0.166300,0.153200,0.318000,0.241000,-10.103000,0.000382,0.001863,0.004549
1764074530139728099,2025-11-25 18:12:10.136,-1.356000,1.764000,37.540000,0.279700,-0.164300,0.145600,0.326000,0.226000,-10.158000,0.000366,0.001705,0.004869
1764074530163864654,2025-11-25 18:12:10.161,-1.356000,1.767000,37.545000,0.280600,-0.166200,0.147800,0.285000,0.257000,-10.107000,0.000106,0.000456,0.003625
1764074530189784339,2025-11-25 18:12:10.187,-1.356000,1.768000,37.551000,0.278700,-0.168100,0.152000,0.329000,0.228000,-10.120000,-0.000722,-0.000812,0.003331
1764074530210427821,2025-11-25 18:12:10.207,-1.355000,1.768000,37.558000,0.278700,-0.167200,0.153000,0.305000,0.231000,-10.151000,0.000226,0.000479,0.005787
1764074530240132451,2025-11-25 18:12:10.236,-1.354000,1.769000,37.564000,0.279800,-0.162400,0.152000,0.302000,0.248000,-10.110000,-0.001333,0.000812,0.003684
1764074530261784988,2025-11-25 18:12:10.259,-1.355000,1.768000,37.574000,0.280500,-0.170100,0.153100,0.332000,0.228000,-10.138000,-0.001042,-0.001146,0.004312
1764074530295230136,2025-11-25 18:12:10.286,-1.354000,1.767000,37.578000,0.279700,-0.164300,0.146700,0.327000,0.250000,-10.123000,-0.000151,-0.001181,0.005048
1764074530311131876,2025-11-25 18:12:10.308,-1.356000,1.765000,37.586000,0.278800,-0.166200,0.150900,0.320000,0.250000,-10.147000,-0.001798,-0.001254,0.003137
1764074530337264469,2025-11-25 18:12:10.334,-1.356000,1.763000,37.592000,0.279600,-0.168100,0.149900,0.303000,0.211000,-10.118000,0.000104,-0.002203,0.004656
1764074530363903673,2025-11-25 18:12:10.359,-1.355000,1.762000,37.596000,0.279700,-0.167200,0.152000,0.291000,0.238000,-10.122000,-0.000727,-0.001795,0.005107
1764074530386918154,2025-11-25 18:12:10.384,-1.355000,1.759000,37.602000,0.281600,-0.163400,0.149900,0.320000,0.243000,-10.121000,-0.001078,-0.000513,0.004060
1764074530411330413,2025-11-25 18:12:10.409,-1.356000,1.759000,37.610000,0.279700,-0.163300,0.155200,0.288000,0.220000,-10.134000,-0.000860,-0.000724,0.006525
1764074530436498099,2025-11-25 18:12:10.433,-1.357000,1.756000,37.615000,0.279600,-0.169100,0.152000,0.324000,0.233000,-10.120000,-0.000183,-0.001465,0.005802
1764074530462910747,2025-11-25 18:12:10.460,-1.357000,1.753000,37.623000,0.277900,-0.164200,0.153000,0.298000,0.230000,-10.112000,-0.002072,-0.000774,0.003624
1764074530485341673,2025-11-25 18:12:10.482,-1.357000,1.753000,37.629000,0.279600,-0.171000,0.152000,0.297000,0.238000,-10.119000,-0.001012,-0.000977,0.004565
1764074530510407913,2025-11-25 18:12:10.507,-1.358000,1.751000,37.637000,0.281400,-0.169100,0.155300,0.333000,0.230000,-10.112000,-0.000332,-0.000584,0.005356
1764074530542070024,2025-11-25 18:12:10.538,-1.359000,1.750000,37.642000,0.279700,-0.167200,0.153100,0.264000,0.268000,-10.121000,-0.000740,-0.000042,0.003938
1764074530560391765,2025-11-25 18:12:10.557,-1.360000,1.750000,37.648000,0.280600,-0.163300,0.152000,0.312000,0.241000,-10.099000,-0.001467,0.000508,0.004177
1764074530589218487,2025-11-25 18:12:10.585,-1.362000,1.750000,37.649000,0.279600,-0.167200,0.152000,0.287000,0.242000,-10.128000,-0.000146,-0.000136,0.004774
