Timestamp,Time,Roll,Pitch,Yaw,Velocity_Increment_X,Velocity_Increment_Y,Velocity_Increment_Z,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z,Pressure
1764074524593469787,2025-11-25 18:12:04.584,0.599204,0.753812,2.424535,0.013107,0.010829,0.978720,0.155863,0.000107,9.805857,0.002325,-0.000599,-0.006001,0.829849,0.453274,-1.209766,100332.0000
1764074524692558009,2025-11-25 18:12:04.683,0.597230,0.765313,2.446516,0.013606,0.011144,0.979096,0.136582,0.146207,9.775895,0.003027,-0.001926,0.001997,0.833216,0.452344,-1.209320,100334.0000
1764074524790137824,2025-11-25 18:12:04.783,0.584904,0.779870,2.471185,0.014147,0.010954,0.979258,0.126379,0.166167,9.808154,-0.002216,-0.000383,-0.006441,0.830792,0.454640,-1.213172,100341.0000
1764074524889526694,2025-11-25 18:12:04.883,0.570848,0.784357,2.499060,0.015052,0.009618,0.979164,0.181878,-0.020177,9.805804,-0.002843,0.002170,-0.003462,0.830799,0.452303,-1.210728,100336.0000
1764074524986765269,2025-11-25 18:12:04.979,0.565637,0.781043,2.528769,0.014984,0.008796,0.978710,0.126352,0.154673,9.768449,0.001868,0.001037,0.000384,0.828871,0.454642,-1.212662,100336.0000
1764074525088972602,2025-11-25 18:12:05.083,0.573183,0.766571,2.553184,0.014724,0.008251,0.978296,0.123622,0.091678,9.787871,0.003796,-0.000036,-0.004153,0.831275,0.452762,-1.211706,100336.0000
1764074525187803898,2025-11-25 18:12:05.176,0.594272,0.746844,2.578532,0.014199,0.009126,0.978305,0.145152,0.031604,9.798428,0.007816,0.002558,0.002996,0.830825,0.456612,-1.210313,100332.0000
1764074525290574435,2025-11-25 18:12:05.283,0.610368,0.731973,2.600056,0.013189,0.010641,0.978539,0.102973,0.223089,9.773110,-0.001465,-0.000025,-0.003109,0.829849,0.454687,-1.210751,100332.0000
1764074525386033657,2025-11-25 18:12:05.383,0.613026,0.729971,2.624447,0.012636,0.011518,0.978302,0.138751,0.085892,9.816561,-0.001932,-0.000331,-0.001707,0.833712,0.456625,-1.210356,100336.0000
1764074525487646268,2025-11-25 18:12:05.483,0.606859,0.740337,2.650592,0.012701,0.011576,0.978457,0.126218,0.082719,9.768140,-0.004628,-0.001200,0.002887,0.828382,0.456032,-1.214602,100332.0000
1764074525586490916,2025-11-25 18:12:05.583,0.590712,0.758468,2.680845,0.013121,0.010410,0.978691,0.123723,0.163682,9.784142,-0.000058,-0.004689,-0.005184,0.831285,0.455618,-1.212231,100332.0000
1764074525694522361,2025-11-25 18:12:05.684,0.579084,0.774673,2.709851,0.014476,0.008782,0.979070,0.201186,-0.029713,9.803790,-0.001527,-0.004210,-0.003053,0.830344,0.456610,-1.210306,100336.0000
1764074525790352120,2025-11-25 18:12:05.783,0.580903,0.783930,2.736839,0.015214,0.008928,0.978894,0.126481,0.170534,9.763517,0.005024,0.000253,-0.002051,0.830344,0.456610,-1.210306,100330.0000
1764074525888229046,2025-11-25 18:12:05.883,0.593587,0.778845,2.762224,0.015591,0.009224,0.978939,0.154328,0.093836,9.804629,-0.002194,0.002812,-0.003080,0.829366,0.457510,-1.212713,100330.0000
1764074525988111472,2025-11-25 18:12:05.983,0.607441,0.761783,2.786524,0.015291,0.009611,0.978996,0.159477,0.041305,9.776499,0.008802,0.001635,0.002055,0.830799,0.453715,-1.211713,100336.0000
1764074526088469175,2025-11-25 18:12:06.083,0.619022,0.740695,2.812141,0.014012,0.010610,0.978730,0.109812,0.195930,9.792471,0.003197,0.006399,-0.003444,0.830817,0.456592,-1.211276,100330.0000
1764074526185858416,2025-11-25 18:12:06.183,0.622863,0.725305,2.840106,0.012785,0.010762,0.978406,0.156235,0.017940,9.800565,-0.000215,0.000432,-0.003294,0.829847,0.456567,-1.212224,100341.0000
1764074526285953138,2025-11-25 18:12:06.283,0.619200,0.721805,2.870375,0.012246,0.010784,0.978427,0.086525,0.157972,9.761848,0.000083,-0.002538,-0.000440,0.828416,0.457536,-1.211254,100332.0000
1764074526387734657,2025-11-25 18:12:06.383,0.614544,0.735267,2.902380,0.012027,0.010649,0.978524,0.132028,0.108815,9.797501,-0.002659,-0.003753,-0.004524,0.827941,0.455664,-1.209293,100328.0000
1764074526485908249,2025-11-25 18:12:06.483,0.606217,0.758919,2.927883,0.013170,0.010141,0.978264,0.144397,0.039005,9.779698,0.002089,-0.004180,0.001580,0.826477,0.457019,-1.212663,100335.0000
1764074526596141119,2025-11-25 18:12:06.583,0.596470,0.784221,2.956327,0.014735,0.010021,0.978608,0.150323,0.199177,9.786262,-0.000879,-0.004649,-0.003941,0.826981,0.460853,-1.212247,100326.0000
1764074526690319971,2025-11-25 18:12:06.683,0.593216,0.796657,2.985962,0.015683,0.008925,0.978635,0.194142,-0.010433,9.808102,0.000205,-0.000426,-0.003512,0.829395,0.459472,-1.210336,100326.0000
1764074526791954416,2025-11-25 18:12:06.783,0.597034,0.785549,3.014340,0.015820,0.008899,0.978571,0.120390,0.157046,9.768467,0.005241,0.001097,-0.000250,0.829864,0.458498,-1.211291,100328.0000
1764074526890203934,2025-11-25 18:12:06.883,0.606245,0.755854,3.047283,0.015116,0.009011,0.979246,0.136650,0.097850,9.795963,0.003050,0.005285,-0.007377,0.829391,0.458516,-1.210321,100334.0000
1764074526998455490,2025-11-25 18:12:06.983,0.624945,0.724287,3.079207,0.013386,0.009246,0.978946,0.121193,0.049023,9.790443,0.003598,0.005397,-0.001411,0.827955,0.460888,-1.210817,100332.0000
1764074527101331971,2025-11-25 18:12:07.084,0.637006,0.709953,3.109624,0.011496,0.011115,0.978702,0.106717,0.225533,9.780240,-0.000554,-0.002023,-0.005801,0.826978,0.458017,-1.210759,100330.0000
1764074527200709601,2025-11-25 18:12:07.183,0.642751,0.722466,3.138892,0.011337,0.011462,0.978215,0.140245,0.032498,9.804319,-0.000820,-0.004251,-0.004473,0.828903,0.459439,-1.211773,100330.0000
1764074527286546063,2025-11-25 18:12:07.283,0.636460,0.751284,3.169204,0.012642,0.011412,0.978073,0.128284,0.147417,9.761217,-0.000648,-0.006844,0.001222,0.829381,0.458963,-1.211772,100338.0000
1764074527389981323,2025-11-25 18:12:07.383,0.623963,0.780753,3.199061,0.014559,0.010997,0.978587,0.156008,0.156390,9.788622,-0.000469,-0.009336,-0.007633,0.827462,0.458497,-1.210774,100334.0000
1764074527486464397,2025-11-25 18:12:07.483,0.612747,0.795693,3.232337,0.016011,0.009468,0.978932,0.194046,-0.017147,9.796754,0.001707,0.000077,-0.002040,0.827446,0.459869,-1.213684,100333.0000
1764074527595350230,2025-11-25 18:12:07.583,0.602304,0.786421,3.265193,0.015619,0.008752,0.979259,0.150422,0.174400,9.775085,-0.003833,0.005467,-0.001353,0.829896,0.461883,-1.209417,100332.0000
1764074527701572211,2025-11-25 18:12:07.685,0.603320,0.767420,3.296777,0.015035,0.008985,0.979291,0.162730,0.079820,9.807564,0.000901,0.002022,-0.006142,0.827957,0.462778,-1.211810,100328.0000
1764074527787838563,2025-11-25 18:12:07.783,0.608526,0.743483,3.328555,0.013715,0.008698,0.978830,0.119966,0.039467,9.768717,0.003933,0.007694,-0.001462,0.826004,0.459395,-1.213174,100330.0000
1764074527886135322,2025-11-25 18:12:07.883,0.624295,0.729284,3.359340,0.012769,0.009966,0.978260,0.086332,0.193790,9.750952,0.002335,0.005697,-0.004444,0.827469,0.461343,-1.211781,100332.0000
1764074527986076044,2025-11-25 18:12:07.983,0.641532,0.727745,3.392140,0.012795,0.009924,0.978044,0.150900,0.012202,9.793588,0.006345,-0.004747,-0.005611,0.827481,0.462319,-1.210832,100332.0000
1764074528096786489,2025-11-25 18:12:08.092,0.656422,0.734353,3.425269,0.012949,0.010922,0.977946,0.105823,0.140207,9.767866,0.002807,-0.002749,-0.001070,0.827949,0.460400,-1.211291,100336.0000
1764074528190538526,2025-11-25 18:12:08.184,0.658304,0.747166,3.455945,0.013257,0.011439,0.978611,0.126363,0.156970,9.795601,-0.000659,-0.004960,-0.008831,0.825537,0.462259,-1.213211,100332.0000
1764074528286662637,2025-11-25 18:12:08.283,0.644668,0.759631,3.489198,0.014337,0.011026,0.979450,0.169096,-0.008140,9.800786,-0.000962,0.000017,-0.004572,0.825076,0.462308,-1.210797,100328.0000
1764074528392084341,2025-11-25 18:12:08.384,0.633640,0.772909,3.520996,0.014300,0.010742,0.979741,0.112521,0.200893,9.790680,0.003190,-0.005615,-0.001656,0.826028,0.460401,-1.210782,100332.0000
1764074528486533415,2025-11-25 18:12:08.483,0.622533,0.779081,3.555607,0.014720,0.009122,0.979687,0.152326,0.058622,9.822686,0.002028,-0.001479,-0.006862,0.824614,0.464715,-1.209864,100338.0000
1764074528587537303,2025-11-25 18:12:08.583,0.617593,0.775878,3.588747,0.015024,0.008841,0.978782,0.148376,0.048985,9.771282,0.000503,0.004812,0.000346,0.825552,0.461355,-1.210789,100329.0000
1764074528686616766,2025-11-25 18:12:08.683,0.626113,0.769031,3.623334,0.014539,0.009450,0.978055,0.093240,0.173899,9.769481,0.003673,-0.002296,-0.004861,0.830375,0.463765,-1.210897,100332.0000
1764074528786785507,2025-11-25 18:12:08.783,0.633370,0.758124,3.656497,0.013859,0.009411,0.977620,0.166127,-0.012974,9.790697,0.005880,0.000861,-0.002060,0.825547,0.462757,-1.212255,100330.0000
1764074528886871692,2025-11-25 18:12:08.883,0.640719,0.754120,3.690489,0.013072,0.010420,0.978021,0.092518,0.168357,9.754330,-0.001513,0.001916,-0.003005,0.827004,0.462327,-1.210344,100328.0000
1764074528986464062,2025-11-25 18:12:08.983,0.644419,0.748811,3.724555,0.013190,0.010382,0.978938,0.136119,0.095774,9.808267,0.001031,-0.002823,-0.007429,0.824592,0.465599,-1.213248,100326.0000
1764074529087778859,2025-11-25 18:12:09.076,0.648923,0.754360,3.759266,0.013140,0.010396,0.979500,0.125488,0.036010,9.780694,0.002354,-0.002258,-0.001037,0.824588,0.464176,-1.212745,100330.0000
1764074529189142599,2025-11-25 18:12:09.183,0.646168,0.769021,3.793012,0.013364,0.010850,0.979678,0.094505,0.209309,9.790889,-0.003049,-0.004119,-0.005242,0.825094,0.465184,-1.210360,100332.0000
1764074529281372192,2025-11-25 18:12:09.277,0.641039,0.784040,3.826426,0.014171,0.009781,0.979495,0.169689,-0.006167,9.812661,-0.001743,0.000570,-0.003092,0.823169,0.467533,-1.211812,100336.0000
1764074529414868229,2025-11-25 18:12:09.392,0.642391,0.792757,3.859238,0.014635,0.009699,0.978962,0.136735,0.132717,9.776809,-0.000558,-0.000542,-0.001577,0.822670,0.463242,-1.211257,100334.0000
1764074529496450155,2025-11-25 18:12:09.476,0.644855,0.791312,3.893307,0.014841,0.010134,0.978260,0.141245,0.152583,9.799624,0.002161,0.002144,-0.007046,0.825569,0.467056,-1.212321,100332.0000
1764074529589924692,2025-11-25 18:12:09.584,0.646656,0.779582,3.925997,0.014825,0.009364,0.977785,0.162950,0.009405,9.760019,-0.000128,0.000130,-0.000370,0.823168,0.466588,-1.211316,100332.0000
1764074529686477377,2025-11-25 18:12:09.683,0.648612,0.766442,3.960020,0.013515,0.010310,0.977832,0.102337,0.215183,9.745500,0.004207,0.000410,0.003836,0.823184,0.466629,-1.209390,100325.0000
1764074529786417951,2025-11-25 18:12:09.783,0.648301,0.758243,3.995045,0.012896,0.009704,0.978331,0.139467,0.048062,9.819502,0.003509,-0.001709,-0.007755,0.822195,0.467498,-1.213241,100336.0000
