Timestamp,Time,Latitude,Longitude,Altitude,Horizontal_Accuracy,Vertical_Accuracy
1779272919852264477,2026-05-20 15:58:39.851,23.540996000,87.294316333,82.70,0.009,0.050
1779272920857310532,2026-05-20 15:58:40.856,23.540996000,87.294316333,82.70,0.009,0.050
1779272921851907957,2026-05-20 15:58:41.851,23.540995833,87.294316333,82.70,0.009,0.050
1779272922853044605,2026-05-20 15:58:42.852,23.540995667,87.294316167,82.70,0.009,0.050
1779272923848106975,2026-05-20 15:58:43.847,23.540995500,87.294316167,82.70,0.009,0.050
1779272924853221715,2026-05-20 15:58:44.852,23.540995333,87.294316167,82.60,0.009,0.050
1779272925849692825,2026-05-20 15:58:45.848,23.540995000,87.294316167,82.60,0.009,0.050
1779272926849872695,2026-05-20 15:58:46.848,23.540994667,87.294316333,82.60,0.009,0.050
1779272927851260102,2026-05-20 15:58:47.850,23.540994500,87.294316667,82.60,0.009,0.050
1779272928853671675,2026-05-20 15:58:48.852,23.540994167,87.294317000,82.70,0.009,0.050
1779272929850221656,2026-05-20 15:58:49.849,23.540993667,87.294317333,82.70,0.009,0.050
1779272930851161378,2026-05-20 15:58:50.850,23.540993000,87.294317500,82.70,0.009,0.050
1779272931858994525,2026-05-20 15:58:51.858,23.540992500,87.294317667,82.70,0.009,0.050
1779272932844637895,2026-05-20 15:58:52.843,23.540996500,87.294316333,82.60,0.009,0.050
1779272933852535339,2026-05-20 15:58:53.851,23.541003833,87.294313667,82.70,0.009,0.050
1779272934852586746,2026-05-20 15:58:54.851,23.541012000,87.294310333,82.70,0.009,0.050
1779272935849916042,2026-05-20 15:58:55.848,23.541020333,87.294306833,82.70,0.009,0.050
1779272936853910245,2026-05-20 15:58:56.853,23.541028667,87.294303500,82.70,0.009,0.050
1779272937851742059,2026-05-20 15:58:57.850,23.541037000,87.294300500,82.80,0.009,0.050
1779272938850809429,2026-05-20 15:58:58.849,23.541045500,87.294297667,82.90,0.009,0.050
1779272939852701984,2026-05-20 15:58:59.851,23.541054000,87.294295000,83.00,0.009,0.050
1779272940855794946,2026-05-20 15:59:00.854,23.541062500,87.294292667,83.00,0.009,0.050
1779272941845204131,2026-05-20 15:59:01.844,23.541071167,87.294290667,83.00,0.009,0.050
1779272942861647667,2026-05-20 15:59:02.860,23.541080000,87.294288667,83.10,0.009,0.050
1779272943848931907,2026-05-20 15:59:03.848,23.541088833,87.294286667,83.20,0.009,0.050
