Timestamp,Time,Roll,Pitch,Yaw,Magnetic_Field_X,Magnetic_Field_Y,Magnetic_Field_Z,Angular_Rate_X,Angular_Rate_Y,Angular_Rate_Z,Acceleration_X,Acceleration_Y,Acceleration_Z
1779272919065924774,2026-05-20 15:58:38.760,-2.101000,1.438000,297.668000,-0.289300,0.138600,0.179500,0.002472,-0.007233,0.012602,0.228000,0.360000,-10.163000
1779272919066215533,2026-05-20 15:58:38.814,-2.098000,1.429000,297.684000,-0.289300,0.138600,0.178400,0.002402,-0.005821,0.011847,0.242000,0.382000,-10.151000
1779272919066561477,2026-05-20 15:58:38.837,-2.094000,1.418000,297.705000,-0.287400,0.140500,0.176400,0.002877,-0.008008,0.014687,0.233000,0.353000,-10.165000
1779272919066745533,2026-05-20 15:58:38.850,-2.091000,1.407000,297.727000,-0.289300,0.142500,0.180600,0.002232,-0.006509,0.014497,0.208000,0.397000,-10.141000
1779272919066986681,2026-05-20 15:58:38.859,-2.088000,1.397000,297.745000,-0.287400,0.141700,0.229500,0.002222,-0.006938,0.013344,0.217000,0.374000,-10.186000
1779272919067245144,2026-05-20 15:58:38.869,-2.083000,1.387000,297.765000,-0.289200,0.144500,0.180600,0.001700,-0.007604,0.014526,0.202000,0.397000,-10.116000
1779272919067478477,2026-05-20 15:58:38.879,-2.080000,1.378000,297.786000,-0.290100,0.146500,0.179400,0.000937,-0.006631,0.014984,0.245000,0.374000,-10.118000
1779272919067530811,2026-05-20 15:58:38.891,-2.078000,1.368000,297.807000,-0.289300,0.138600,0.181700,0.000366,-0.005697,0.016499,0.223000,0.373000,-10.139000
1779272919068166959,2026-05-20 15:58:38.910,-2.078000,1.362000,297.828000,-0.287400,0.144500,0.180700,0.000174,-0.003678,0.015289,0.221000,0.352000,-10.158000
1779272919068364089,2026-05-20 15:58:38.922,-2.077000,1.356000,297.853000,-0.287400,0.141500,0.183900,-0.001381,-0.003885,0.018376,0.235000,0.321000,-10.171000
1779272919069775459,2026-05-20 15:58:38.938,-2.078000,1.352000,297.875000,-0.287400,0.140500,0.183900,-0.002907,-0.002312,0.015716,0.193000,0.375000,-10.139000
1779272919086955663,2026-05-20 15:58:38.951,-2.080000,1.350000,297.899000,-0.287400,0.141500,0.181800,-0.001877,-0.000838,0.015758,0.218000,0.382000,-10.138000
1779272919088161200,2026-05-20 15:58:38.960,-2.082000,1.349000,297.921000,-0.286500,0.140500,0.182900,-0.003597,-0.000165,0.017186,0.220000,0.333000,-10.156000
1779272919088272996,2026-05-20 15:58:38.967,-2.086000,1.352000,297.945000,-0.289300,0.139600,0.183900,-0.004371,0.001328,0.018169,0.253000,0.385000,-10.140000
1779272919088312663,2026-05-20 15:58:38.974,-2.091000,1.355000,297.968000,-0.283800,0.138500,0.176600,-0.004870,0.002074,0.017505,0.247000,0.364000,-10.144000
1779272919088350385,2026-05-20 15:58:38.981,-2.097000,1.361000,297.994000,-0.287300,0.148400,0.180600,-0.003246,0.004307,0.016940,0.245000,0.357000,-10.176000
