Timestamp,Time,Roll,Pitch,Yaw,Velocity_Increment_X,Velocity_Increment_Y,Velocity_Increment_Z,Acceleration_X,Acceleration_Y,Acceleration_Z,Angular_Rate_X,Angular_Rate_Y,Angular_Rate_Z,Magnetic_Field_X,Magnetic_Field_Y,Magnetic_Field_Z,Pressure
1779272919581986496,2026-05-20 15:58:39.580,-0.054850,0.482162,189.786484,0.010846,-0.001255,0.979688,0.128803,0.007996,9.817091,-0.001873,0.004704,-0.016226,-0.461581,-0.229288,-0.855096,98938.0000
1779272919681885366,2026-05-20 15:58:39.680,-0.018606,0.448136,189.881348,0.009456,-0.002691,0.978969,-0.011611,-0.100154,9.795428,-0.008702,0.002174,-0.013536,-0.463448,-0.231770,-0.857988,98942.0000
1779272919782418625,2026-05-20 15:58:39.781,0.010716,0.422817,189.962433,0.008049,-0.006030,0.978396,-0.037153,-0.222184,9.799151,0.000363,0.002904,-0.003855,-0.460445,-0.230850,-0.857787,98934.0000
1779272919882314384,2026-05-20 15:58:39.881,0.007282,0.412797,190.013885,0.007008,-0.006047,0.977693,0.134789,-0.132963,9.824730,0.005612,0.002778,-0.005999,-0.461640,-0.232327,-0.857121,98933.0000
1779272919982114921,2026-05-20 15:58:39.980,-0.021562,0.434684,190.051285,0.007164,-0.005270,0.977406,0.116609,-0.028367,9.798106,0.006404,-0.006993,-0.006209,-0.461642,-0.231741,-0.857435,98934.0000
1779272920083294199,2026-05-20 15:58:40.082,-0.057533,0.470147,190.086334,0.008911,-0.002656,0.978151,0.057781,0.039897,9.720977,0.008208,-0.005555,-0.006564,-0.461905,-0.231391,-0.855637,98932.0000
1779272920182310551,2026-05-20 15:58:40.180,-0.082604,0.513251,190.113602,0.011041,-0.001166,0.978543,0.157376,-0.067379,9.774155,0.009093,-0.007708,-0.004602,-0.462824,-0.232903,-0.856177,98932.0000
1779272920282087588,2026-05-20 15:58:40.280,-0.082238,0.540329,190.128616,0.012686,-0.000982,0.979259,0.195693,-0.107365,9.880427,-0.004374,-0.002932,0.001580,-0.462492,-0.231377,-0.855022,98930.0000
1779272920381964958,2026-05-20 15:58:40.380,-0.057479,0.537198,190.135040,0.013686,-0.001351,0.979444,0.159911,-0.018607,9.795893,-0.003555,0.001835,-0.002006,-0.461925,-0.232600,-0.856207,98925.0000
1779272920482510403,2026-05-20 15:58:40.481,-0.022640,0.513676,190.130524,0.013238,-0.002914,0.979272,0.098501,0.022135,9.750216,-0.006035,0.003549,0.002708,-0.461907,-0.231689,-0.855630,98937.0000
1779272920582530551,2026-05-20 15:58:40.581,-0.007361,0.482170,190.111282,0.012013,-0.005126,0.979130,0.104717,-0.078569,9.802462,0.001055,0.004862,0.003972,-0.462539,-0.231747,-0.857412,98934.0000
1779272920681602347,2026-05-20 15:58:40.680,-0.011757,0.450479,190.080444,0.009882,-0.005587,0.978584,0.139980,-0.122896,9.832833,0.001490,-0.000120,0.008937,-0.459834,-0.232298,-0.856567,98933.0000
1779272920781938532,2026-05-20 15:58:40.780,-0.034278,0.432374,190.040421,0.009117,-0.004492,0.978063,0.042357,-0.081796,9.751954,0.003978,-0.001852,0.011262,-0.460129,-0.230821,-0.856895,98924.0000
1779272920882437365,2026-05-20 15:58:40.881,-0.052883,0.451559,189.983856,0.008183,-0.003284,0.977425,0.056689,-0.065831,9.736187,0.005128,-0.008728,0.012113,-0.461311,-0.231099,-0.855959,98931.0000
