Timestamp,Time,Error,Status_1,Status_2,Status_3,Status_4,V_alt_1,V_alt_2,V_alt_3,V_alt_4,V_rad_1,V_rad_2,V_rad_3,V_rad_4,WV_rad_1,WV_rad_2,WV_rad_3,WV_rad_4,WV_credit_1,WV_credit_2,WV_credit_3,WV_credit_4,V_inst_1,V_inst_2,V_inst_3,V_inst_4,V_earth_1,V_earth_2,V_earth_3,V_earth_4,WV_inst_1,WV_inst_2,WV_inst_3,WV_inst_4,WV_earth_1,WV_earth_2,WV_earth_3,WV_earth_4,Roll,Pitch,Yaw,Altitude,Temperature,Pressure,Salinity,Sound_Speed
1779273690235758314,2026-05-20 16:11:30.235,0X0000,1,1,0,1,0.9,0.8,0.8,0.8,-154.5,-31.0,0.0,-29.0,0.0,0.0,79.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.63,8.9,70.3,0.8,34.4,65.882,35.0,1554.0
1779273690613279277,2026-05-20 16:11:30.612,0X0000,0,1,1,1,0.9,0.8,0.8,0.8,0.0,-45.8,179.0,-49.2,-1171.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.6046,0.0045,-0.0512,0.001,-182.0,-577.1,44.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.34,9.05,72.9,0.8,34.5,65.882,35.0,1554.0
1779273690951769258,2026-05-20 16:11:30.951,0X0000,1,1,1,1,0.8,0.8,0.8,0.8,-428.7,-113.7,259.0,-74.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.01,6.98,79.8,0.8,34.4,65.882,35.0,1554.0
1779273691318022869,+2026-05-20 16:11:31.317,0X0000,1,1,1,1,0.8,0.8,0.8,0.8,-428.5,-129.3,290.6,240.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9597,-0.49339999999999995,-0.0073,0.001,431.6,-985.7,82.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.72,3.45,86.5,0.8,34.5,65.882,35.0,1554.0
1779273691656221350,2026-05-20 16:11:31.655,0X0000,1,1,1,1,0.8,0.8,0.8,0.8,-358.6,-25.4,282.2,11.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.35,-0.38,91.8,0.8,34.4,65.882,35.0,1554.0
1779273692018177572,)2026-05-20 16:11:32.017,0X0000,1,1,1,1,0.8,0.8,0.8,0.8,-222.1,0.2,300.8,41.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6979,-0.055299999999999995,0.0324,0.001,138.6,-686.6,-25.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.35,-4.92,96.9,0.8,34.5,65.882,35.0,1554.0
1779273692373693405,2026-05-20 16:11:32.372,0X0000,1,1,1,1,0.8,0.8,0.8,0.8,-210.9,4.8,227.2,-1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5847,0.0081,0.0053,0.001,69.3,-580.6,-8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.87,-1.26,97.6,0.8,34.4,65.882,35.0,1554.0
1779273692737127683,2026-05-20 16:11:32.736,0X0000,1,1,1,1,0.8,0.8,0.8,0.8,-167.7,-90.2,153.2,-29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4283,-0.08170000000000001,-0.0361,0.001,156.9,-407.4,-28.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.39,0.59,100.1,0.8,34.4,65.882,35.0,1554.0
1779273693096317961,62026-05-20 16:11:33.095,0X0000,1,1,1,1,0.8,0.8,0.8,0.8,-161.9,-17.7,157.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.42560000000000003,-0.030600000000000002,-0.0047,0.001,109.1,-412.5,5.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.53,1.22,100.7,0.8,34.4,65.882,35.0,1554.0
1779273693458013831,2026-05-20 16:11:33.457,0X0000,1,1,1,1,0.8,0.8,0.8,0.8,-155.3,-31.4,137.1,-68.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3902,0.0496,-0.0319,0.001,37.8,-392.1,-24.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.12,1.42,102.6,0.8,34.4,65.882,35.0,1554.0
1779273693817688997,(2026-05-20 16:11:33.817,0X0000,1,1,1,1,0.8,0.8,0.8,0.8,-146.9,-5.0,143.4,-27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.38739999999999997,0.0294,-0.0096,0.001,71.5,-382.0,-2.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.54,1.22,104.9,0.8,34.4,65.882,35.0,1554.0
1779273694151293108,2026-05-20 16:11:34.150,0X0000,1,1,1,1,0.8,0.8,0.8,0.8,-594.5,3.6,148.4,-8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.02,1.38,107.1,0.8,34.4,65.882,35.0,1554.0
1779273694510512756,)2026-05-20 16:11:34.509,0X0000,1,1,1,1,0.8,0.8,0.8,0.8,-137.9,-16.5,139.4,-2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.37010000000000004,-0.0192,-0.0046,0.001,136.8,-344.4,6.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.16,1.59,108.7,0.8,34.4,65.882,35.0,1554.0
1779273694868018682,52026-05-20 16:11:34.867,0X0000,1,1,1,1,0.8,0.8,0.8,0.8,-138.0,-7.1,133.0,-9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.36169999999999997,0.0036,-0.005900000000000001,0.001,125.8,-339.2,1.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.76,1.25,110.9,0.8,34.5,65.882,35.0,1554.0
1779273695226688015,72026-05-20 16:11:35.225,0X0000,1,1,1,1,0.8,0.8,0.8,0.8,-145.0,-13.8,132.3,-3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.37010000000000004,-0.0132,-0.008199999999999999,0.001,156.3,-335.9,1.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.32,1.39,112.9,0.8,34.4,65.882,35.0,1554.0
1779273695587779718,2026-05-20 16:11:35.587,0X0000,1,1,1,1,0.8,0.8,0.8,0.8,-175.7,-37.5,130.5,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4087,-0.0314,-0.0261,0.001,191.3,-363.5,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.46,3.6,113.3,0.8,34.4,65.882,35.0,1554.0
