Timestamp,Time,Latitude,Longitude,Altitude,Horizontal_Accuracy,Vertical_Accuracy
1779273689878244185,2026-05-20 16:11:29.876,23.541074167,87.294241500,85.60,0.009,0.050
1779273690865898369,2026-05-20 16:11:30.865,23.541075000,87.294246667,85.60,0.009,0.050
1779273691860164498,2026-05-20 16:11:31.859,23.541074500,87.294254667,85.60,0.009,0.050
1779273692870228276,2026-05-20 16:11:32.869,23.541073333,87.294260167,85.60,0.009,0.050
1779273693862375516,2026-05-20 16:11:33.861,23.541072167,87.294263667,85.60,0.009,0.050
1779273694869767330,2026-05-20 16:11:34.868,23.541070833,87.294267000,85.60,0.009,0.050
1779273695861382811,2026-05-20 16:11:35.860,23.541069000,87.294270333,85.60,0.009,0.050
1779273696865917699,2026-05-20 16:11:36.864,23.541065000,87.294276333,85.60,0.009,0.050
1779273697854220476,2026-05-20 16:11:37.853,23.541060667,87.294283000,85.50,0.009,0.050
1779273698863468753,2026-05-20 16:11:38.862,23.541058333,87.294286167,85.50,0.009,0.050
1779273699861707882,2026-05-20 16:11:39.860,23.541057167,87.294287333,85.50,0.009,0.050
1779273700862340123,2026-05-20 16:11:40.861,23.541056167,87.294288000,85.60,0.009,0.050
1779273701861767566,2026-05-20 16:11:41.860,23.541055500,87.294288667,85.60,0.009,0.050
1779273702876284992,2026-05-20 16:11:42.875,23.541053333,87.294287833,85.60,0.009,0.050
1779273703860939010,2026-05-20 16:11:43.860,23.541047500,87.294283667,85.70,0.009,0.050
1779273704862458213,2026-05-20 16:11:44.861,23.541040333,87.294278667,85.60,0.009,0.050
1779273705863440916,2026-05-20 16:11:45.862,23.541032833,87.294274000,85.60,0.009,0.050
1779273706857343934,2026-05-20 16:11:46.856,23.541025167,87.294269500,85.50,0.009,0.050
1779273707864503174,2026-05-20 16:11:47.863,23.541021000,87.294267167,85.40,0.009,0.050
1779273708870594303,2026-05-20 16:11:48.869,23.541019333,87.294266167,85.40,0.009,0.050
1779273709861360043,2026-05-20 16:11:49.860,23.541018500,87.294265333,85.30,0.009,0.050
1779273710867721487,2026-05-20 16:11:50.866,23.541017667,87.294264500,85.30,0.009,0.050
1779273711861947727,2026-05-20 16:11:51.861,23.541017333,87.294264167,85.20,0.009,0.050
1779273712864217652,2026-05-20 16:11:52.863,23.541017833,87.294262667,85.20,0.009,0.050
1779273713866864244,2026-05-20 16:11:53.865,23.541022000,87.294257667,85.20,0.009,0.050
1779273714878627522,2026-05-20 16:11:54.877,23.541027667,87.294250833,85.10,0.009,0.050
1779273715860197817,2026-05-20 16:11:55.859,23.541033000,87.294243667,85.10,0.009,0.050
1779273716874670817,2026-05-20 16:11:56.873,23.541037833,87.294236167,85.10,0.009,0.050
1779273717869609890,2026-05-20 16:11:57.868,23.541042500,87.294228333,85.10,0.009,0.050
1779273718861762779,2026-05-20 16:11:58.860,23.541046833,87.294220667,85.00,0.009,0.050
1779273719866362204,2026-05-20 16:11:59.865,23.541051167,87.294212333,85.10,0.009,0.050
1779273720871526500,2026-05-20 16:12:00.870,23.541055833,87.294204500,85.00,0.009,0.050
1779273721861341092,2026-05-20 16:12:01.860,23.541060667,87.294196833,85.00,0.009,0.050
1779273722860536980,2026-05-20 16:12:02.859,23.541065500,87.294188833,85.00,0.009,0.050
1779273723858867553,2026-05-20 16:12:03.858,23.541070667,87.294181333,85.00,0.009,0.050
1779273724857403627,2026-05-20 16:12:04.856,23.541075833,87.294173333,84.90,0.009,0.050
1779273725864323515,2026-05-20 16:12:05.863,23.541080833,87.294165333,85.00,0.009,0.050
1779273726871487163,2026-05-20 16:12:06.870,23.541086000,87.294157500,85.00,0.009,0.050
1779273727864687199,2026-05-20 16:12:07.863,23.541090833,87.294149333,85.00,0.009,0.050
1779273728871212847,2026-05-20 16:12:08.870,23.541095833,87.294141167,85.00,0.009,0.050
1779273729860711476,2026-05-20 16:12:09.859,23.541100833,87.294133167,85.00,0.009,0.050
1779273730864386253,2026-05-20 16:12:10.863,23.541106000,87.294125000,85.10,0.009,0.050
1779273731860342160,2026-05-20 16:12:11.859,23.541111333,87.294117000,85.10,0.009,0.050
1779273732865889641,2026-05-20 16:12:12.864,23.541116667,87.294109333,85.20,0.009,0.050
1779273733854677473,2026-05-20 16:12:13.853,23.541122000,87.294101167,85.20,0.009,0.050
