Timestamp,Time,Roll,Pitch,Yaw,Magnetic_Field_X,Magnetic_Field_Y,Magnetic_Field_Z,Angular_Rate_X,Angular_Rate_Y,Angular_Rate_Z,Acceleration_X,Acceleration_Y,Acceleration_Z
1779273689800896185,2026-05-20 16:11:29.796,-2.078000,2.104000,165.377000,0.076800,-0.316300,0.144200,-0.002284,0.081588,0.005670,0.626000,0.438000,-10.057000
1779273689839663111,2026-05-20 16:11:29.836,-2.082000,2.232000,165.388000,0.074800,-0.320200,0.139800,-0.003654,0.092150,0.012909,0.728000,0.329000,-10.095000
1779273689874265370,2026-05-20 16:11:29.871,-2.085000,2.377000,165.406000,0.074900,-0.319200,0.143100,-0.003464,0.105285,0.018718,0.727000,0.365000,-10.069000
1779273689889075351,2026-05-20 16:11:29.887,-2.086000,2.540000,165.431000,0.072100,-0.320100,0.138600,0.000208,0.117024,0.016718,0.910000,0.444000,-10.046000
1779273689897604074,2026-05-20 16:11:29.896,-2.086000,2.721000,165.461000,0.074000,-0.317200,0.140800,-0.000344,0.129194,0.025514,1.140000,0.482000,-9.987000
1779273689905195370,2026-05-20 16:11:29.903,-2.090000,2.923000,165.502000,0.071300,-0.312300,0.140700,-0.005703,0.143483,0.037046,1.069000,0.386000,-10.126000
1779273689922093925,2026-05-20 16:11:29.918,-2.094000,3.143000,165.545000,0.070300,-0.314200,0.140600,-0.004741,0.155212,0.036047,0.979000,0.398000,-10.164000
1779273689934081814,2026-05-20 16:11:29.928,-2.093000,3.369000,165.594000,0.071300,-0.312200,0.142800,-0.000705,0.157436,0.036426,1.275000,0.454000,-10.083000
1779273689941943851,2026-05-20 16:11:29.938,-2.092000,3.594000,165.650000,0.068500,-0.313200,0.145900,-0.002073,0.153269,0.043915,1.377000,0.376000,-10.028000
1779273689950144092,2026-05-20 16:11:29.948,-2.092000,3.823000,165.709000,0.067600,-0.311200,0.143700,-0.004875,0.157082,0.045082,1.370000,0.510000,-10.147000
1779273689956948277,2026-05-20 16:11:29.955,-2.088000,4.052000,165.770000,0.066700,-0.313100,0.141500,-0.003756,0.159612,0.049411,1.600000,0.447000,-10.165000
1779273689965014611,2026-05-20 16:11:29.963,-2.085000,4.268000,165.840000,0.062900,-0.316000,0.142400,-0.001702,0.144499,0.056614,1.422000,0.588000,-10.128000
1779273689972335777,2026-05-20 16:11:29.971,-2.080000,4.466000,165.919000,0.064000,-0.309100,0.157500,0.002453,0.127815,0.056739,1.603000,0.445000,-10.141000
1779273689980269444,2026-05-20 16:11:29.979,-2.073000,4.645000,166.010000,0.062000,-0.316000,0.143400,0.002229,0.118892,0.065629,1.612000,0.494000,-10.262000
1779273689989254240,2026-05-20 16:11:29.986,-2.068000,4.805000,166.112000,0.060100,-0.314000,0.137900,-0.002071,0.106473,0.076620,1.782000,0.223000,-10.083000
1779273690004398888,2026-05-20 16:11:30.001,-2.062000,4.940000,166.232000,0.058300,-0.313900,0.146500,-0.002689,0.082874,0.087021,1.542000,0.218000,-10.182000
1779273690027013185,2026-05-20 16:11:30.025,-2.057000,5.049000,166.368000,0.058200,-0.317900,0.142200,-0.001113,0.064140,0.097574,2.281000,0.308000,-10.107000
