Timestamp,Time,Roll,Pitch,Yaw,Velocity_Increment_X,Velocity_Increment_Y,Velocity_Increment_Z,Acceleration_X,Acceleration_Y,Acceleration_Z,Angular_Rate_X,Angular_Rate_Y,Angular_Rate_Z,Magnetic_Field_X,Magnetic_Field_Y,Magnetic_Field_Z,Pressure
1779273690491999518,2026-05-20 16:11:30.489,0.034380,3.162128,70.129616,0.109414,-0.021959,0.969793,1.576575,0.156393,9.832238,-0.020397,-0.004742,-0.250056,-0.000042,0.456569,-0.870694,98948.0000
1779273690590458314,2026-05-20 16:11:30.589,0.087903,3.362831,71.610893,0.106056,-0.027749,0.971086,1.265896,-0.060211,9.641161,-0.021336,-0.039830,-0.262453,-0.014989,0.458263,-0.870354,98956.0000
1779273690689962425,2026-05-20 16:11:30.688,0.115364,3.760523,73.144485,0.115256,-0.034134,0.972951,2.021541,-1.388592,10.172466,-0.025047,-0.080081,-0.269535,-0.028690,0.460632,-0.867663,98953.0000
1779273690790868332,2026-05-20 16:11:30.789,0.097483,4.064221,74.693733,0.132929,-0.036359,0.976855,0.984101,-0.426493,9.430656,-0.007966,-0.031787,-0.281078,-0.043930,0.461448,-0.866696,98945.0000
1779273690890435443,2026-05-20 16:11:30.888,0.042469,4.003368,76.230461,0.133901,-0.037309,0.976737,1.662406,-0.687186,10.109627,-0.009178,0.053011,-0.269220,-0.057416,0.458679,-0.866586,98953.0000
1779273690990123943,2026-05-20 16:11:30.988,-0.029948,3.532123,77.730309,0.111656,-0.033836,0.975017,1.310760,-0.833888,9.994834,-0.003886,0.113150,-0.258824,-0.066048,0.461051,-0.864924,98947.0000
1779273691091015554,2026-05-20 16:11:31.089,-0.083176,2.757451,79.158310,0.079178,-0.029773,0.978693,0.443257,-0.621308,9.797134,0.006800,0.160639,-0.239286,-0.073253,0.460673,-0.865931,98951.0000
1779273691190632480,2026-05-20 16:11:31.189,-0.083443,1.945366,80.492294,0.035581,-0.024418,0.977986,1.314601,-0.700241,9.854153,-0.013556,0.122338,-0.219166,-0.079848,0.459433,-0.866034,98957.0000
1779273691290740128,2026-05-20 16:11:31.289,-0.055688,1.236260,81.706108,-0.004182,-0.023553,0.981873,-0.506452,-0.598830,9.469774,-0.002491,0.103473,-0.205089,-0.085837,0.461155,-0.866822,98948.0000
1779273691390060758,2026-05-20 16:11:31.388,-0.009381,0.667106,82.828613,-0.013988,-0.023890,0.988661,-0.259668,-0.445214,9.923503,-0.003155,0.102522,-0.197817,-0.090309,0.459973,-0.865480,98949.0000
1779273691490664739,2026-05-20 16:11:31.489,0.051194,0.183768,83.864662,-0.037951,-0.021544,0.983307,-0.194196,-0.023181,10.028015,-0.012257,0.073300,-0.169155,-0.096863,0.459094,-0.863493,98952.0000
1779273691590466498,2026-05-20 16:11:31.589,0.098042,-0.275675,84.789696,-0.039964,-0.020808,0.982729,-0.810881,0.184307,9.781155,-0.018374,0.077521,-0.158101,-0.100194,0.458127,-0.865184,98952.0000
1779273691691898110,2026-05-20 16:11:31.690,0.118754,-0.838239,85.665413,-0.050022,-0.021547,0.982960,-0.035104,-1.141006,9.825893,0.024081,0.118023,-0.168387,-0.104390,0.456911,-0.865049,98945.0000
1779273691791057721,2026-05-20 16:11:31.789,0.126075,-1.604868,86.617096,-0.077758,-0.018041,0.976422,-1.532175,-0.088610,9.248093,-0.005594,0.127121,-0.172512,-0.108331,0.457393,-0.867959,98952.0000
1779273691890763702,2026-05-20 16:11:31.889,0.079930,-2.232027,87.661255,-0.119971,-0.023414,0.970337,-1.321744,-0.004262,9.613595,0.015505,0.035426,-0.157684,-0.113439,0.454088,-0.867750,98952.0000
1779273691990702424,2026-05-20 16:11:31.989,-0.015561,-2.181536,88.617691,-0.121358,-0.014634,0.967622,-0.488229,-0.026046,10.167367,0.014347,-0.075624,-0.158138,-0.119460,0.452518,-0.869058,98959.0000
1779273692090549813,2026-05-20 16:11:32.089,-0.077845,-1.512614,89.471405,-0.099852,-0.007609,0.965066,-0.762393,-0.413671,9.400268,0.018721,-0.163454,-0.136483,-0.131726,0.452442,-0.868745,98951.0000
1779273692190878517,2026-05-20 16:11:32.189,-0.094711,-0.508426,90.259186,-0.058294,-0.005006,0.967649,0.148606,0.121596,9.785089,0.006325,-0.177446,-0.122321,-0.143095,0.447954,-0.866848,98949.0000
1779273692292511591,2026-05-20 16:11:32.291,-0.071514,0.472072,90.994148,-0.019131,-0.007006,0.967025,-0.133578,-0.410781,9.588516,-0.008023,-0.156040,-0.120856,-0.156519,0.448818,-0.864728,98951.0000
1779273692390251609,2026-05-20 16:11:32.388,-0.028077,1.156261,91.650330,0.017128,-0.009385,0.975344,-0.042159,-0.324073,9.606474,-0.003339,-0.082212,-0.118112,-0.164572,0.446451,-0.862367,98951.0000
1779273692490943350,2026-05-20 16:11:32.489,-0.018457,1.406375,92.238792,0.027788,-0.013831,0.982494,0.034487,-0.188418,9.532477,-0.002702,-0.017891,-0.100661,-0.170875,0.447558,-0.863733,98951.0000
1779273692590514868,2026-05-20 16:11:32.589,-0.046732,1.284104,92.745331,0.025088,-0.014423,0.987894,-0.045297,-0.163623,9.951869,0.010093,0.044952,-0.088340,-0.175352,0.445781,-0.862377,98958.0000
1779273692690388424,2026-05-20 16:11:32.689,-0.091789,0.972745,93.180580,0.009460,-0.007303,0.987734,-0.125469,0.242202,9.679576,0.018120,0.065490,-0.092055,-0.175373,0.445158,-0.863261,98953.0000
1779273692789620016,2026-05-20 16:11:32.788,-0.124634,0.664291,93.634537,-0.004108,-0.002635,0.983975,-0.161655,0.453500,9.639591,0.005467,0.044149,-0.088505,-0.177503,0.443910,-0.864677,98955.0000
1779273692890804201,2026-05-20 16:11:32.889,-0.120701,0.487451,94.165749,-0.006588,0.000832,0.978783,-0.011838,0.547962,9.795247,-0.002255,0.029367,-0.095114,-0.180822,0.442077,-0.865448,98953.0000
1779273692990584072,2026-05-20 16:11:32.989,-0.085332,0.449173,94.799866,-0.002234,-0.000775,0.975934,-0.334535,0.150740,9.600525,-0.010548,0.010070,-0.119276,-0.185299,0.441184,-0.864413,98949.0000
1779273693091843035,2026-05-20 16:11:33.090,-0.032268,0.494725,95.493523,0.006344,-0.005118,0.974106,0.141297,-0.242754,9.790433,-0.016761,-0.000454,-0.125420,-0.191014,0.439039,-0.865116,98951.0000
1779273693191598386,2026-05-20 16:11:33.190,0.023542,0.537756,96.175026,0.012082,-0.008404,0.975743,0.137807,-0.159324,9.770900,-0.004066,0.002198,-0.117700,-0.196999,0.438705,-0.864955,98949.0000
1779273693290690590,2026-05-20 16:11:33.289,0.057855,0.520281,96.853424,0.013995,-0.009370,0.979096,0.305728,-0.108346,9.885386,-0.004187,0.006245,-0.117049,-0.201484,0.434853,-0.863250,98954.0000
1779273693390609923,2026-05-20 16:11:33.389,0.065743,0.445621,97.527306,0.010243,-0.011292,0.980750,0.303698,-0.049570,9.959017,0.006944,0.019387,-0.115294,-0.207467,0.433049,-0.862454,98957.0000
1779273693490022442,2026-05-20 16:11:33.488,0.036698,0.364430,98.187805,0.004522,-0.011465,0.981590,0.191479,-0.141030,9.880525,0.008199,0.014866,-0.112218,-0.212877,0.432683,-0.863508,98953.0000
1779273693590985997,2026-05-20 16:11:33.589,-0.022680,0.320605,98.812126,-0.003235,-0.009132,0.979792,0.090948,-0.106481,9.818562,0.012274,0.002511,-0.105716,-0.216805,0.429358,-0.864227,98955.0000
1779273693690428534,2026-05-20 16:11:33.689,-0.081209,0.364193,99.404938,-0.004358,-0.004568,0.977458,-0.079094,0.007233,9.758203,0.012475,-0.015318,-0.096275,-0.220110,0.428725,-0.864728,98948.0000
1779273693790253145,2026-05-20 16:11:33.788,-0.121330,0.484317,99.977867,-0.000423,-0.003154,0.976794,0.138075,-0.053487,9.841654,-0.001057,-0.020070,-0.099759,-0.226401,0.424845,-0.863575,98951.0000
1779273693890174386,2026-05-20 16:11:33.888,-0.131597,0.640203,100.557770,0.005225,-0.003402,0.974747,-0.004791,-0.230603,9.724216,-0.002127,-0.029551,-0.102987,-0.231815,0.424767,-0.864935,98946.0000
