Timestamp,Time,Latitude,Longitude,Altitude,Horizontal_Accuracy,Vertical_Accuracy
1764076097171896572,2025-11-25 18:38:17.170,23.535388333,87.300787333,83.90,0.009,0.050
1764076098194693942,2025-11-25 18:38:18.193,23.535388167,87.300787167,84.00,0.009,0.050
1764076099173639812,2025-11-25 18:38:19.171,23.535388167,87.300787000,84.00,0.009,0.050
1764076100192285830,2025-11-25 18:38:20.190,23.535388000,87.300787000,84.10,0.009,0.050
1764076101172299681,2025-11-25 18:38:21.170,23.535387833,87.300786833,84.10,0.009,0.050
1764076102192425217,2025-11-25 18:38:22.190,23.535387667,87.300786833,84.10,0.009,0.050
1764076103172327513,2025-11-25 18:38:23.170,23.535387667,87.300786833,84.10,0.009,0.050
1764076104192511438,2025-11-25 18:38:24.191,23.535387500,87.300786833,84.10,0.009,0.050
1764076105192408030,2025-11-25 18:38:25.190,23.535387500,87.300786833,84.10,0.009,0.050
1764076106192822715,2025-11-25 18:38:26.191,23.535387500,87.300786833,84.10,0.009,0.050
1764076107193003437,2025-11-25 18:38:27.191,23.535387500,87.300786833,84.10,0.009,0.050
1764076108194202751,2025-11-25 18:38:28.192,23.535387500,87.300786833,84.20,0.009,0.050
1764076109171753528,2025-11-25 18:38:29.170,23.535387500,87.300786833,84.20,0.009,0.050
1764076110193483676,2025-11-25 18:38:30.191,23.535387500,87.300786833,84.20,0.009,0.050
1764076111174002230,2025-11-25 18:38:31.171,23.535387333,87.300786833,84.20,0.009,0.050
1764076112193503822,2025-11-25 18:38:32.191,23.535387167,87.300786667,84.30,0.009,0.050
1764076113173473877,2025-11-25 18:38:33.171,23.535387000,87.300786667,84.30,0.009,0.050
1764076114192257006,2025-11-25 18:38:34.190,23.535386833,87.300786500,84.30,0.009,0.050
1764076115172169173,2025-11-25 18:38:35.170,23.535386667,87.300786333,84.30,0.009,0.050
1764076116193443783,2025-11-25 18:38:36.191,23.535386500,87.300786167,84.30,0.009,0.050
1764076117193164505,2025-11-25 18:38:37.191,23.535386167,87.300786000,84.40,0.009,0.050
1764076118194105411,2025-11-25 18:38:38.192,23.535386000,87.300785833,84.40,0.009,0.050
1764076119173695707,2025-11-25 18:38:39.171,23.535385667,87.300785500,84.40,0.009,0.050
1764076120194211521,2025-11-25 18:38:40.192,23.535385167,87.300785500,84.40,0.009,0.050
1764076121172863725,2025-11-25 18:38:41.171,23.535384667,87.300785500,84.30,0.009,0.050
