Timestamp,Time,Roll,Pitch,Yaw,Magnetic_Field_X,Magnetic_Field_Y,Magnetic_Field_Z,Angular_Rate_X,Angular_Rate_Y,Angular_Rate_Z,Acceleration_X,Acceleration_Y,Acceleration_Z
1764076097842131479,2025-11-25 18:38:17.830,-1.331000,1.745000,251.592000,-0.143400,0.287300,0.122200,0.293000,0.223000,-10.125000,0.000595,0.003233,0.005826
1764076097858209942,2025-11-25 18:38:17.853,-1.331000,1.748000,251.599000,-0.146200,0.279800,0.140100,0.331000,0.240000,-10.116000,-0.000525,0.001497,0.005349
1764076097870208961,2025-11-25 18:38:17.867,-1.331000,1.752000,251.604000,-0.143300,0.288300,0.142300,0.293000,0.242000,-10.126000,-0.000936,0.001962,0.004837
1764076097883712090,2025-11-25 18:38:17.881,-1.332000,1.756000,251.613000,-0.144300,0.284500,0.143300,0.342000,0.225000,-10.165000,-0.001241,0.003880,0.005173
1764076097895796646,2025-11-25 18:38:17.891,-1.333000,1.760000,251.621000,-0.144300,0.282600,0.144400,0.301000,0.239000,-10.096000,-0.000834,0.002977,0.006072
1764076097905560683,2025-11-25 18:38:17.903,-1.334000,1.763000,251.630000,-0.146200,0.283500,0.122100,0.324000,0.208000,-10.144000,-0.002065,0.002614,0.005552
1764076097915482461,2025-11-25 18:38:17.913,-1.336000,1.764000,251.638000,-0.144300,0.283600,0.144400,0.305000,0.225000,-10.124000,-0.001707,0.001902,0.007071
1764076097925802553,2025-11-25 18:38:17.923,-1.338000,1.768000,251.648000,-0.143400,0.282600,0.143400,0.352000,0.245000,-10.148000,-0.002078,0.001113,0.005922
1764076097935765979,2025-11-25 18:38:17.933,-1.340000,1.771000,251.657000,-0.143400,0.283600,0.146500,0.303000,0.249000,-10.179000,-0.000170,0.001060,0.005300
1764076097946598461,2025-11-25 18:38:17.943,-1.343000,1.773000,251.665000,-0.143500,0.283500,0.123300,0.329000,0.234000,-10.164000,-0.001240,0.001784,0.007730
1764076097957902868,2025-11-25 18:38:17.955,-1.345000,1.775000,251.672000,-0.142600,0.282500,0.127600,0.299000,0.271000,-10.104000,-0.000939,0.000887,0.006406
1764076097984336053,2025-11-25 18:38:17.981,-1.346000,1.777000,251.678000,-0.145200,0.283500,0.127400,0.315000,0.229000,-10.098000,0.000019,0.001619,0.005891
1764076098010616757,2025-11-25 18:38:18.008,-1.347000,1.777000,251.686000,-0.142400,0.286400,0.146500,0.308000,0.229000,-10.107000,0.000476,-0.000339,0.005934
1764076098034687664,2025-11-25 18:38:18.032,-1.347000,1.779000,251.696000,-0.143400,0.283600,0.145500,0.297000,0.242000,-10.121000,-0.000116,0.001188,0.004586
1764076098119514868,2025-11-25 18:38:18.117,-1.346000,1.782000,251.713000,-0.143400,0.282600,0.146500,0.291000,0.251000,-10.148000,0.000796,0.000874,0.006657
1764076098128661701,2025-11-25 18:38:18.126,-1.344000,1.781000,251.721000,-0.143400,0.280700,0.145500,0.325000,0.244000,-10.136000,0.000519,0.000422,0.004229
1764076098139005738,2025-11-25 18:38:18.136,-1.343000,1.783000,251.729000,-0.142500,0.286300,0.124400,0.309000,0.216000,-10.128000,0.001526,0.000373,0.005238
1764076098158432942,2025-11-25 18:38:18.156,-1.340000,1.785000,251.737000,-0.144300,0.282600,0.144400,0.327000,0.242000,-10.097000,0.001404,0.000690,0.005290
