Timestamp,Time,Roll,Pitch,Yaw,Velocity_Increment_X,Velocity_Increment_Y,Velocity_Increment_Z,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z,Pressure
1764076094214735407,2025-11-25 18:38:14.194,0.563797,0.959223,208.803680,0.013436,0.010233,0.978651,0.101763,0.198455,9.767572,-0.000477,-0.005390,-0.000755,-0.163614,-0.564627,-1.194065,100309.0000
1764076094305920648,2025-11-25 18:38:14.295,0.565756,0.968897,208.823563,0.014500,0.009798,0.978718,0.174270,0.009447,9.814809,-0.002343,0.001133,-0.006040,-0.163124,-0.563659,-1.193605,100308.0000
1764076094398216648,2025-11-25 18:38:14.394,0.570780,0.971086,208.847168,0.014772,0.010330,0.978147,0.129504,0.148307,9.750518,0.001902,0.000191,-0.000301,-0.163111,-0.565509,-1.190688,100312.0000
1764076094497750148,2025-11-25 18:38:14.494,0.574075,0.963556,208.877792,0.014868,0.010113,0.978182,0.169950,0.112758,9.801053,0.000816,0.001963,-0.011961,-0.163122,-0.565539,-1.192132,100309.0000
1764076094606111074,2025-11-25 18:38:14.593,0.581527,0.948659,208.911301,0.013889,0.010140,0.978329,0.144210,0.014626,9.784184,0.008891,0.001947,-0.001928,-0.160734,-0.566047,-1.194086,100300.0000
1764076094699284722,2025-11-25 18:38:14.690,0.591010,0.946480,208.941025,0.012775,0.010938,0.978368,0.106762,0.229515,9.787293,0.001895,0.000166,-0.003771,-0.162158,-0.566002,-1.191657,100304.0000
1764076094798830611,2025-11-25 18:38:14.793,0.597493,0.954702,208.966263,0.012791,0.010377,0.978431,0.160553,-0.005874,9.802874,0.005664,-0.005788,-0.003545,-0.158792,-0.564107,-1.193180,100302.0000
1764076094898904629,2025-11-25 18:38:14.893,0.595765,0.968912,208.990082,0.012805,0.010710,0.978088,0.117859,0.177411,9.753869,0.001698,-0.003679,0.002961,-0.160232,-0.566461,-1.191197,100304.0000
1764076094999787851,2025-11-25 18:38:14.993,0.587120,0.982630,209.011688,0.014322,0.010972,0.978393,0.153500,0.098854,9.805571,-0.004798,-0.003452,-0.008105,-0.162158,-0.566002,-1.191657,100307.0000
1764076095098438740,2025-11-25 18:38:15.087,0.577267,0.994691,209.036575,0.015385,0.010428,0.978443,0.158181,0.048152,9.783447,0.000677,-0.000913,-0.002856,-0.156354,-0.564482,-1.188877,100309.0000
1764076095204311944,2025-11-25 18:38:15.196,0.568709,0.992597,209.066879,0.015781,0.009881,0.978984,0.131505,0.176521,9.790401,-0.004232,0.000872,-0.007938,-0.158785,-0.566445,-1.190737,100306.0000
1764076095301167999,2025-11-25 18:38:15.293,0.570732,0.973908,209.099655,0.015614,0.009076,0.979145,0.174837,-0.011208,9.816154,0.009805,0.002160,-0.007374,-0.160227,-0.566919,-1.190227,100302.0000
1764076095404666684,2025-11-25 18:38:15.395,0.579575,0.947094,209.128159,0.013943,0.009493,0.978848,0.098789,0.192164,9.771161,-0.001063,0.006588,-0.001888,-0.159273,-0.566935,-1.191204,100307.0000
1764076095506793055,2025-11-25 18:38:15.493,0.595935,0.933298,209.155014,0.012569,0.010030,0.978784,0.136235,0.072787,9.800598,0.005210,-0.000698,-0.005308,-0.157332,-0.566885,-1.189307,100306.0000
1764076095615779184,2025-11-25 18:38:15.594,0.606418,0.939595,209.176041,0.011648,0.010933,0.978177,0.122042,0.095243,9.761634,0.000244,-0.005121,0.002201,-0.156903,-0.568906,-1.194580,100307.0000
1764076095698470055,2025-11-25 18:38:15.694,0.603872,0.965698,209.203735,0.012062,0.011803,0.977818,0.113254,0.181749,9.783533,0.003914,-0.010503,-0.010883,-0.157827,-0.566450,-1.191233,100306.0000
1764076095800534703,2025-11-25 18:38:15.793,0.595961,0.991637,209.234650,0.013790,0.010533,0.977875,0.171126,-0.004869,9.781077,-0.002886,-0.005399,-0.004977,-0.157830,-0.567873,-1.190729,100304.0000
1764076095896181443,2025-11-25 18:38:15.893,0.585377,1.012832,209.267365,0.014447,0.010582,0.978170,0.124327,0.189395,9.767347,0.000859,-0.005772,-0.002506,-0.157367,-0.569335,-1.192159,100304.0000
1764076095996280814,2025-11-25 18:38:15.993,0.576614,1.026645,209.300507,0.014866,0.009809,0.978713,0.171284,0.028500,9.815274,0.000849,-0.002621,-0.010698,-0.155908,-0.568342,-1.190751,100306.0000
1764076096096356295,2025-11-25 18:38:16.093,0.574457,1.024509,209.328354,0.015512,0.009507,0.979066,0.149418,0.113720,9.778955,0.004566,0.005106,-0.000209,-0.154944,-0.568806,-1.190276,100304.0000
1764076096196176906,2025-11-25 18:38:16.193,0.576940,1.008197,209.351044,0.015195,0.010258,0.978780,0.172188,0.139153,9.798868,0.000022,0.001464,-0.004905,-0.158808,-0.570276,-1.191160,100304.0000
