Timestamp,Time,Error,Status_1,Status_2,Status_3,Status_4,V_alt_1,V_alt_2,V_alt_3,V_alt_4,V_rad_1,V_rad_2,V_rad_3,V_rad_4,WV_rad_1,WV_rad_2,WV_rad_3,WV_rad_4,WV_credit_1,WV_credit_2,WV_credit_3,WV_credit_4,V_inst_1,V_inst_2,V_inst_3,V_inst_4,V_earth_1,V_earth_2,V_earth_3,V_earth_4,WV_inst_1,WV_inst_2,WV_inst_3,WV_inst_4,WV_earth_1,WV_earth_2,WV_earth_3,WV_earth_4,Roll,Pitch,Heading,Altitude,Temperature,Pressure,Salinity,Sound_Speed
1764075352513417479,2025-11-25 18:25:52.512,0X0000,1,1,1,1,1.0,1.0,1.0,1.1,0.3,1.1,2.2,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5,-0.4,1.3,1.0,-0.6,2.5,1.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.57,0.43,275.4,1.0,20.2,65.882,35.0,1522.0
1764075352873363608,2025-11-25 18:25:52.872,0X0000,1,1,1,1,1.0,1.0,1.0,1.1,-1.4,-0.9,0.8,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9,-0.4,-0.6,1.0,-0.7,2.9,-0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.49,0.43,275.2,1.0,20.2,65.882,35.0,1522.0
1764075353214811145,2025-11-25 18:25:53.213,0X0000,1,1,1,1,1.1,1.0,1.0,1.1,-1.6,-0.6,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.1,-0.8,-0.4,1.0,-1.1,3.0,-0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.55,0.43,275.0,1.0,20.2,65.882,35.0,1522.0
1764075353561457052,2025-11-25 18:25:53.560,0X0000,1,1,1,1,1.1,1.0,1.0,1.1,0.0,0.8,1.8,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4,-0.1,0.9,1.0,-0.3,2.4,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.48,0.45,274.9,1.0,20.2,65.882,35.0,1522.0
1764075353914352349,2025-11-25 18:25:53.913,0X0000,1,1,1,1,1.1,1.0,1.0,1.1,-1.9,-1.2,0.1,-0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7,-0.4,-1.1,1.0,-0.6,2.7,-1.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,0.46,274.7,1.0,20.2,65.882,35.0,1522.0
1764075354259476385,2025-11-25 18:25:54.258,0X0000,1,1,1,1,1.1,1.0,1.0,1.1,-0.7,0.0,1.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.1,-0.3,0.3,1.0,-0.5,3.1,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.57,0.41,274.4,1.0,20.2,65.882,35.0,1522.0
1764075354610906959,2025-11-25 18:25:54.610,0X0000,1,1,1,1,1.1,1.0,1.0,1.1,-1.4,-0.2,1.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.6,-0.4,-0.1,1.0,-0.7,3.6,-0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.56,0.44,274.4,1.0,20.2,65.882,35.0,1522.0
1764075354960055107,2025-11-25 18:25:54.955,0X0000,1,1,1,1,1.1,1.0,1.0,1.1,-1.3,0.0,1.6,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.9,0.4,0.0,1.0,0.1,3.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.57,0.36,274.1,1.0,20.2,65.882,35.0,1522.0
1764075355318696329,2025-11-25 18:25:55.317,0X0000,1,1,1,1,1.1,1.0,1.0,1.1,-0.7,-0.9,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7,-1.2,-0.1,1.0,-1.4,2.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,0.44,274.0,1.0,20.2,65.882,35.0,1522.0
1764075355655041014,2025-11-25 18:25:55.654,0X0000,1,1,1,1,1.1,1.0,1.0,1.1,-0.4,-0.2,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.7,-0.3,0.5,1.0,-0.6,3.7,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.55,0.43,273.9,1.0,20.2,65.882,35.0,1522.0
