Timestamp,Time,Latitude,Longitude,Altitude,Horizontal_Accuracy,Vertical_Accuracy
1764075358185184309,2025-11-25 18:25:58.171,23.535453833,87.300868667,84.30,0.009,0.050
1764075359154444531,2025-11-25 18:25:59.152,23.535453833,87.300868500,84.30,0.009,0.050
1764075360178074641,2025-11-25 18:26:00.174,23.535454000,87.300868333,84.40,0.009,0.050
1764075361175345011,2025-11-25 18:26:01.172,23.535454000,87.300868000,84.40,0.009,0.050
1764075362193472084,2025-11-25 18:26:02.191,23.535454167,87.300867833,84.50,0.009,0.050
1764075363173260936,2025-11-25 18:26:03.171,23.535454167,87.300867667,84.50,0.009,0.050
1764075364174005194,2025-11-25 18:26:04.172,23.535454167,87.300867333,84.50,0.009,0.050
1764075365175917749,2025-11-25 18:26:05.173,23.535454167,87.300867167,84.60,0.009,0.050
1764075366178006304,2025-11-25 18:26:06.175,23.535454333,87.300867000,84.60,0.009,0.050
1764075367175225415,2025-11-25 18:26:07.173,23.535454500,87.300867000,84.60,0.009,0.050
1764075368176994544,2025-11-25 18:26:08.173,23.535454500,87.300866833,84.70,0.009,0.050
1764075369174670969,2025-11-25 18:26:09.172,23.535454667,87.300866833,84.70,0.009,0.050
1764075370194753765,2025-11-25 18:26:10.192,23.535454667,87.300866833,84.70,0.009,0.050
1764075371173913394,2025-11-25 18:26:11.172,23.535454833,87.300866833,84.70,0.009,0.050
1764075372193463708,2025-11-25 18:26:12.191,23.535455000,87.300867000,84.70,0.009,0.050
1764075373174034596,2025-11-25 18:26:13.172,23.535455000,87.300867167,84.70,0.009,0.050
1764075374194944892,2025-11-25 18:26:14.193,23.535455167,87.300867333,84.60,0.009,0.050
1764075375175273243,2025-11-25 18:26:15.173,23.535455167,87.300867333,84.60,0.009,0.050
1764075376174021409,2025-11-25 18:26:16.172,23.535455167,87.300867333,84.60,0.009,0.050
1764075377154230261,2025-11-25 18:26:17.152,23.535455167,87.300867500,84.50,0.009,0.050
1764075378174703853,2025-11-25 18:26:18.172,23.535455167,87.300867667,84.50,0.009,0.050
1764075379173695796,2025-11-25 18:26:19.172,23.535455167,87.300867833,84.40,0.009,0.050
1764075380174511759,2025-11-25 18:26:20.172,23.535455000,87.300868000,84.40,0.009,0.050
1764075381176629499,2025-11-25 18:26:21.172,23.535455000,87.300868000,84.30,0.009,0.050
1764075382174872258,2025-11-25 18:26:22.173,23.535454833,87.300868167,84.20,0.009,0.050
1764075383174727276,2025-11-25 18:26:23.172,23.535454667,87.300868167,84.20,0.009,0.050
1764075384174363868,2025-11-25 18:26:24.172,23.535454500,87.300868167,84.10,0.009,0.050
1764075385175948219,2025-11-25 18:26:25.173,23.535454333,87.300868333,84.00,0.009,0.050
