Timestamp,Time,Roll,Pitch,Yaw,Magnetic_Field_X,Magnetic_Field_Y,Magnetic_Field_Z,Angular_Rate_X,Angular_Rate_Y,Angular_Rate_Z,Acceleration_X,Acceleration_Y,Acceleration_Z
1764075359198631123,2025-11-25 18:25:59.195,-1.375000,1.764000,282.032000,0.017000,0.314600,0.139200,0.272000,0.239000,-10.106000,-0.002298,0.003314,-0.008567
1764075359224929642,2025-11-25 18:25:59.221,-1.377000,1.770000,282.020000,0.018000,0.312800,0.161600,0.303000,0.243000,-10.135000,-0.001652,0.003881,-0.007608
1764075359250619197,2025-11-25 18:25:59.248,-1.380000,1.776000,282.006000,0.018800,0.313600,0.134000,0.299000,0.256000,-10.128000,-0.000957,0.004791,-0.007815
1764075359276243068,2025-11-25 18:25:59.273,-1.381000,1.783000,281.992000,0.017900,0.313700,0.144600,0.305000,0.240000,-10.082000,-0.000973,0.004042,-0.009125
1764075359297355475,2025-11-25 18:25:59.295,-1.384000,1.786000,281.979000,0.018000,0.313700,0.164800,0.326000,0.242000,-10.139000,-0.000732,0.002468,-0.007510
1764075359324284512,2025-11-25 18:25:59.321,-1.385000,1.790000,281.966000,0.018800,0.308000,0.163800,0.306000,0.261000,-10.180000,0.000377,0.001617,-0.009017
1764075359349520660,2025-11-25 18:25:59.347,-1.386000,1.792000,281.953000,0.018000,0.316500,0.139300,0.372000,0.261000,-10.136000,-0.000714,0.001321,-0.008807
1764075359374583179,2025-11-25 18:25:59.371,-1.387000,1.795000,281.940000,0.018000,0.314700,0.161600,0.301000,0.237000,-10.161000,0.000420,0.001239,-0.007886
1764075359397853419,2025-11-25 18:25:59.395,-1.387000,1.795000,281.926000,0.014400,0.316700,0.158200,0.336000,0.263000,-10.131000,-0.000357,0.001001,-0.009777
1764075359426488493,2025-11-25 18:25:59.423,-1.387000,1.795000,281.913000,0.018900,0.315600,0.161600,0.298000,0.254000,-10.142000,0.000738,0.000053,-0.008562
1764075359454698771,2025-11-25 18:25:59.450,-1.387000,1.794000,281.899000,0.017100,0.315600,0.157300,0.333000,0.245000,-10.176000,0.000967,-0.001112,-0.008091
1764075359475453290,2025-11-25 18:25:59.472,-1.387000,1.791000,281.886000,0.018900,0.315600,0.162700,0.295000,0.267000,-10.128000,0.000965,-0.002431,-0.010342
1764075359499544123,2025-11-25 18:25:59.497,-1.384000,1.788000,281.872000,0.018900,0.313700,0.160600,0.302000,0.223000,-10.163000,0.001593,-0.003292,-0.009405
1764075359523203530,2025-11-25 18:25:59.520,-1.383000,1.783000,281.858000,0.017900,0.312700,0.142500,0.339000,0.224000,-10.077000,0.002490,-0.003291,-0.009394
1764075359549782049,2025-11-25 18:25:59.546,-1.380000,1.780000,281.845000,0.016200,0.315700,0.163600,0.284000,0.274000,-10.137000,0.000983,-0.002976,-0.009902
1764075359575874197,2025-11-25 18:25:59.573,-1.378000,1.775000,281.831000,0.017200,0.318500,0.163600,0.337000,0.216000,-10.126000,0.002134,-0.001008,-0.009120
1764075359599894456,2025-11-25 18:25:59.597,-1.376000,1.771000,281.817000,0.018800,0.311700,0.141500,0.298000,0.258000,-10.130000,0.002110,-0.002789,-0.010273
1764075359624200419,2025-11-25 18:25:59.621,-1.374000,1.769000,281.803000,0.016100,0.312800,0.165800,0.319000,0.230000,-10.132000,0.001155,-0.001613,-0.008547
1764075359647642530,2025-11-25 18:25:59.644,-1.371000,1.765000,281.789000,0.018000,0.313700,0.165900,0.291000,0.235000,-10.156000,0.002701,-0.001539,-0.008407
1764075359674812030,2025-11-25 18:25:59.672,-1.369000,1.763000,281.775000,0.018000,0.315600,0.163700,0.310000,0.287000,-10.114000,0.001962,-0.001016,-0.008504
1764075359698195252,2025-11-25 18:25:59.695,-1.367000,1.759000,281.764000,0.017100,0.314700,0.163700,0.331000,0.243000,-10.161000,0.001882,-0.000479,-0.009353
1764075359726296567,2025-11-25 18:25:59.723,-1.365000,1.759000,281.751000,0.018000,0.313700,0.164800,0.269000,0.242000,-10.134000,0.000859,-0.000543,-0.006838
1764075359749050697,2025-11-25 18:25:59.746,-1.362000,1.756000,281.739000,0.017900,0.311800,0.165900,0.320000,0.234000,-10.128000,0.001218,-0.000869,-0.010076
1764075359777578808,2025-11-25 18:25:59.775,-1.360000,1.754000,281.726000,0.016200,0.315700,0.164700,0.301000,0.244000,-10.127000,0.001245,0.000720,-0.007399
1764075359799161012,2025-11-25 18:25:59.796,-1.358000,1.753000,281.714000,0.017000,0.310900,0.168000,0.316000,0.228000,-10.098000,0.001791,0.000153,-0.007370
1764075359823177641,2025-11-25 18:25:59.820,-1.357000,1.754000,281.702000,0.019700,0.309900,0.166000,0.320000,0.244000,-10.100000,0.000822,0.001289,-0.008281
