Timestamp,Time,Roll,Pitch,Yaw,Velocity_Increment_X,Velocity_Increment_Y,Velocity_Increment_Z,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z,Pressure
1764075354588964441,2025-11-25 18:25:54.583,0.456085,1.008925,276.418121,0.012379,0.008644,0.978249,0.107858,0.190356,9.769134,0.002331,-0.002064,0.010931,0.250777,-0.640553,-1.195633,100315.0000
1764075354693446478,2025-11-25 18:25:54.683,0.468321,1.035262,276.370354,0.014212,0.008729,0.978852,0.179319,0.018448,9.802508,0.002221,-0.001915,0.008162,0.251736,-0.642917,-1.194648,100307.0000
1764075354793336015,2025-11-25 18:25:54.783,0.485980,1.051945,276.324135,0.015276,0.009882,0.978588,0.158935,0.100107,9.779659,0.007230,-0.000875,0.014005,0.251725,-0.642002,-1.196588,100310.0000
1764075354887319829,2025-11-25 18:25:54.883,0.494714,1.050508,276.279320,0.015478,0.010792,0.978552,0.119323,0.180702,9.768508,-0.002679,0.001922,0.005955,0.247901,-0.640068,-1.194635,100316.0000
1764075354986312959,2025-11-25 18:25:54.983,0.492589,1.036798,276.231659,0.015001,0.010715,0.978448,0.174963,0.003317,9.793745,0.003107,0.001812,0.012119,0.249812,-0.641981,-1.195116,100314.0000
1764075355129610626,2025-11-25 18:25:55.088,0.480756,1.022340,276.181969,0.014260,0.010870,0.978534,0.111392,0.196372,9.763008,-0.003726,0.003411,0.012573,0.247891,-0.641979,-1.194606,100310.0000
1764075355203828811,2025-11-25 18:25:55.188,0.469333,1.011068,276.132019,0.013567,0.009831,0.978718,0.136255,0.068309,9.803833,0.001314,-0.000858,0.007889,0.247383,-0.642052,-1.197968,100311.0000
1764075355292393218,2025-11-25 18:25:55.283,0.460065,1.005892,276.083656,0.013332,0.009499,0.978914,0.148123,0.035137,9.790519,-0.000352,0.002983,0.009123,0.247395,-0.641077,-1.197020,100314.0000
1764075355391601292,2025-11-25 18:25:55.383,0.458164,1.010504,276.036369,0.013411,0.009937,0.978516,0.107748,0.188892,9.781238,0.003069,-0.004073,0.007654,0.248832,-0.642503,-1.197020,100312.0000
1764075355500818144,2025-11-25 18:25:55.484,0.461220,1.019633,275.988640,0.013957,0.009020,0.978635,0.184394,0.008117,9.810797,-0.001599,-0.003809,0.007043,0.244999,-0.641535,-1.195533,100309.0000
1764075355594819551,2025-11-25 18:25:55.583,0.460833,1.024960,275.942886,0.014259,0.009587,0.978683,0.110778,0.142183,9.758032,0.003226,0.001794,0.012716,0.244068,-0.641458,-1.191668,100307.0000
1764075355691392847,2025-11-25 18:25:55.683,0.462333,1.028286,275.902069,0.013785,0.009668,0.978689,0.131886,0.130637,9.792252,0.001877,-0.005977,0.001912,0.241149,-0.640139,-1.196461,100311.0000
1764075355792456588,2025-11-25 18:25:55.783,0.465958,1.029732,275.858200,0.014189,0.009285,0.978077,0.163873,-0.008625,9.789719,0.004475,0.001493,0.008184,0.243551,-0.640139,-1.196978,100312.0000
1764075355892183125,2025-11-25 18:25:55.883,0.466350,1.029351,275.809402,0.014002,0.009827,0.977657,0.109928,0.195762,9.762706,-0.001087,-0.002998,0.011968,0.243081,-0.642468,-1.194046,100311.0000
1764075355992694255,2025-11-25 18:25:55.983,0.475038,1.025292,275.758965,0.014164,0.009607,0.977976,0.160964,0.052452,9.798878,0.004711,0.000375,0.007519,0.241130,-0.643961,-1.196403,100301.0000
1764075356101770088,2025-11-25 18:25:56.093,0.477944,1.019912,275.708511,0.013862,0.010161,0.978549,0.143688,0.083337,9.775553,0.000531,0.003041,0.013752,0.242588,-0.642501,-1.195483,100309.0000
1764075356197656366,2025-11-25 18:25:56.184,0.476328,1.016668,275.660698,0.013155,0.010964,0.979064,0.106677,0.204969,9.787411,0.006580,-0.004916,0.008293,0.241132,-0.642070,-1.197395,100307.0000
1764075356311400643,2025-11-25 18:25:56.285,0.465624,1.023677,275.612549,0.013086,0.010306,0.979231,0.172422,-0.007496,9.811584,-0.002136,0.000095,0.006424,0.241149,-0.642497,-1.194981,100312.0000
1764075356426373958,2025-11-25 18:25:56.389,0.456383,1.040074,275.564842,0.013408,0.009885,0.979279,0.115013,0.149368,9.759505,-0.000938,-0.004881,0.012560,0.239218,-0.642994,-1.195426,100307.0000
1764075356515520421,2025-11-25 18:25:56.498,0.444062,1.055843,275.522087,0.014727,0.009281,0.978763,0.156192,0.115567,9.796620,-0.005231,-0.001074,0.008872,0.239215,-0.642058,-1.196404,100307.0000
1764075356604901032,2025-11-25 18:25:56.586,0.444460,1.059860,275.476692,0.015918,0.008555,0.978371,0.186221,-0.001081,9.785400,0.003511,0.000748,0.009065,0.237771,-0.643010,-1.195886,100316.0000
1764075356695347606,2025-11-25 18:25:56.683,0.450746,1.044960,275.428024,0.015999,0.009517,0.978038,0.136265,0.193931,9.762958,0.004865,0.002202,0.012361,0.238741,-0.642040,-1.195434,100305.0000
1764075356790256828,2025-11-25 18:25:56.783,0.461397,1.014299,275.377151,0.015143,0.010169,0.978098,0.156782,0.059521,9.797064,0.003021,0.004894,0.005202,0.235855,-0.641108,-1.195887,100311.0000
1764075356892912884,2025-11-25 18:25:56.885,0.467928,0.987349,275.326691,0.013356,0.010105,0.978047,0.125313,0.068086,9.766531,0.003451,0.004858,0.014114,0.236800,-0.643980,-1.196339,100316.0000
1764075356990396699,2025-11-25 18:25:56.983,0.468005,0.974280,275.279083,0.012028,0.010963,0.978208,0.094454,0.201359,9.768195,-0.003281,0.003071,0.006521,0.235869,-0.642958,-1.192969,100303.0000
1764075357087226828,2025-11-25 18:25:57.083,0.458762,0.986675,275.234589,0.011619,0.009652,0.978426,0.149996,-0.005853,9.809323,0.000946,-0.008745,0.005901,0.236314,-0.644938,-1.196317,100303.0000
1764075357187168939,2025-11-25 18:25:57.183,0.445518,1.018331,275.190598,0.012221,0.009101,0.978764,0.127395,0.124476,9.770260,-0.001973,-0.006631,0.010538,0.236331,-0.645364,-1.193903,100308.0000
1764075357301481569,2025-11-25 18:25:57.283,0.447895,1.056322,275.141792,0.014025,0.008719,0.978826,0.157580,0.133892,9.803864,0.004169,-0.009020,0.007444,0.234394,-0.643991,-1.196303,100301.0000
1764075357385752161,2025-11-25 18:25:57.383,0.457940,1.084954,275.090355,0.015670,0.008579,0.978948,0.189530,0.006334,9.801175,-0.001057,-0.002036,0.013813,0.231032,-0.643518,-1.195779,100309.0000
1764075357487041050,2025-11-25 18:25:57.484,0.472177,1.086512,275.036842,0.016438,0.010124,0.978950,0.158949,0.213858,9.781912,0.001519,-0.001576,0.012791,0.231513,-0.643516,-1.195786,100311.0000
