Timestamp,Time,Latitude,Longitude,Altitude,Horizontal_Accuracy,Vertical_Accuracy
1764076206377395470,2025-11-25 18:40:06.374,23.541007833,87.294350833,85.00,0.009,0.050
1764076207372048192,2025-11-25 18:40:07.369,23.541008500,87.294350500,85.00,0.009,0.050
1764076208371997876,2025-11-25 18:40:08.369,23.541009000,87.294350333,85.00,0.009,0.050
1764076209392510505,2025-11-25 18:40:09.389,23.541009333,87.294350000,85.00,0.009,0.050
1764076210379456968,2025-11-25 18:40:10.370,23.541009833,87.294349833,85.00,0.009,0.050
1764076211375820930,2025-11-25 18:40:11.369,23.541010333,87.294349500,84.90,0.009,0.050
1764076212371585392,2025-11-25 18:40:12.369,23.541010833,87.294349167,84.90,0.009,0.050
1764076213371799484,2025-11-25 18:40:13.369,23.541011167,87.294348667,85.00,0.009,0.050
1764076214374015299,2025-11-25 18:40:14.371,23.541011333,87.294348333,85.00,0.009,0.050
1764076215374039261,2025-11-25 18:40:15.371,23.541011667,87.294348167,84.90,0.009,0.050
1764076216374468760,2025-11-25 18:40:16.372,23.541012000,87.294348000,85.00,0.009,0.050
1764076217371759278,2025-11-25 18:40:17.370,23.541012333,87.294347833,85.00,0.009,0.050
1764076218374017685,2025-11-25 18:40:18.372,23.541012667,87.294347500,85.00,0.009,0.050
1764076219374382092,2025-11-25 18:40:19.372,23.541012833,87.294347333,85.00,0.009,0.050
1764076220372430888,2025-11-25 18:40:20.369,23.541013167,87.294347333,85.00,0.009,0.050
1764076221372740424,2025-11-25 18:40:21.370,23.541013333,87.294347167,85.00,0.009,0.050
1764076222374492349,2025-11-25 18:40:22.372,23.541013500,87.294347000,85.00,0.009,0.050
1764076223373622423,2025-11-25 18:40:23.371,23.541013833,87.294346500,85.00,0.009,0.050
1764076224373150422,2025-11-25 18:40:24.371,23.541013833,87.294346167,84.90,0.009,0.050
1764076225374388440,2025-11-25 18:40:25.371,23.541013833,87.294345667,84.90,0.009,0.050
1764076226372443958,2025-11-25 18:40:26.370,23.541013833,87.294345167,84.90,0.009,0.050
1764076227392335032,2025-11-25 18:40:27.390,23.541014000,87.294344667,84.90,0.009,0.050
1764076228373233679,2025-11-25 18:40:28.371,23.541014500,87.294345167,84.90,0.009,0.050
1764076229391083623,2025-11-25 18:40:29.389,23.541016333,87.294350833,84.90,0.009,0.050
1764076230373055345,2025-11-25 18:40:30.371,23.541019500,87.294359667,84.80,0.009,0.050
1764076231374296344,2025-11-25 18:40:31.372,23.541023333,87.294368167,84.80,0.009,0.050
1764076232371934732,2025-11-25 18:40:32.369,23.541028167,87.294375833,84.80,0.009,0.050
1764076233372689547,2025-11-25 18:40:33.370,23.541033667,87.294383333,84.80,0.009,0.050
1764076234373294101,2025-11-25 18:40:34.371,23.541040000,87.294390333,84.80,0.009,0.050
1764076235373929675,2025-11-25 18:40:35.372,23.541046333,87.294397000,84.80,0.009,0.050
1764076236373247304,2025-11-25 18:40:36.371,23.541052500,87.294403667,84.80,0.009,0.050
1764076237373018470,2025-11-25 18:40:37.371,23.541058333,87.294410500,84.80,0.009,0.050
1764076238373419414,2025-11-25 18:40:38.371,23.541064167,87.294417500,84.90,0.009,0.050
1764076239390579821,2025-11-25 18:40:39.389,23.541068333,87.294422833,84.90,0.008,0.050
1764076240373224765,2025-11-25 18:40:40.371,23.541069667,87.294424833,84.90,0.008,0.050
1764076241372827116,2025-11-25 18:40:41.371,23.541069000,87.294425500,84.90,0.009,0.050
1764076242372944189,2025-11-25 18:40:42.370,23.541068167,87.294426333,84.90,0.009,0.050
1764076243390991911,2025-11-25 18:40:43.389,23.541067500,87.294427667,84.90,0.009,0.050
1764076244390476429,2025-11-25 18:40:44.389,23.541067000,87.294429167,84.90,0.009,0.050
1764076245372998688,2025-11-25 18:40:45.371,23.541067333,87.294429500,84.90,0.008,0.050
1764076246373536409,2025-11-25 18:40:46.371,23.541071000,87.294424833,84.90,0.008,0.050
1764076247373077483,2025-11-25 18:40:47.371,23.541076167,87.294417333,84.90,0.008,0.050
1764076248373465945,2025-11-25 18:40:48.371,23.541081000,87.294409500,84.90,0.008,0.050
1764076249372515963,2025-11-25 18:40:49.370,23.541085667,87.294401667,84.90,0.008,0.050
1764076250372961833,2025-11-25 18:40:50.370,23.541090167,87.294393667,84.80,0.008,0.050
1764076251372096610,2025-11-25 18:40:51.370,23.541094833,87.294385667,84.80,0.009,0.050
1764076252373616517,2025-11-25 18:40:52.371,23.541099333,87.294377500,84.80,0.009,0.050
1764076253390413294,2025-11-25 18:40:53.389,23.541104000,87.294369167,84.80,0.009,0.050
1764076254372535275,2025-11-25 18:40:54.370,23.541108833,87.294361000,84.80,0.009,0.050
1764076255373093145,2025-11-25 18:40:55.371,23.541114000,87.294352833,84.80,0.009,0.050
1764076256373737459,2025-11-25 18:40:56.371,23.541119167,87.294344500,84.80,0.010,0.050
1764076257372714069,2025-11-25 18:40:57.370,23.541124500,87.294336333,84.80,0.010,0.050
1764076258370761550,2025-11-25 18:40:58.369,23.541130167,87.294328167,84.80,0.009,0.050
1764076259373086105,2025-11-25 18:40:59.371,23.541136000,87.294320000,84.80,0.009,0.050
1764076260373788623,2025-11-25 18:41:00.371,23.541141833,87.294312167,84.70,0.009,0.050
1764076261390691974,2025-11-25 18:41:01.389,23.541147833,87.294303500,84.80,0.009,0.050
1764076262374195529,2025-11-25 18:41:02.372,23.541152833,87.294296333,84.80,0.009,0.050
1764076263391171677,2025-11-25 18:41:03.389,23.541155500,87.294293167,84.80,0.009,0.050
1764076264373134695,2025-11-25 18:41:04.371,23.541157000,87.294292000,84.80,0.009,0.050
1764076265373674009,2025-11-25 18:41:05.371,23.541160333,87.294291167,84.80,0.009,0.050
1764076266372971694,2025-11-25 18:41:06.371,23.541167833,87.294290167,84.80,0.009,0.050
1764076267379560545,2025-11-25 18:41:07.378,23.541176500,87.294288333,84.80,0.009,0.050
1764076268373344618,2025-11-25 18:41:08.371,23.541185167,87.294286167,84.70,0.009,0.050
1764076269372461044,2025-11-25 18:41:09.370,23.541193833,87.294282667,84.60,0.009,0.050
1764076270374039228,2025-11-25 18:41:10.372,23.541202333,87.294278167,84.60,0.009,0.050
1764076271390666431,2025-11-25 18:41:11.389,23.541210333,87.294273167,84.50,0.009,0.050
1764076272374283949,2025-11-25 18:41:12.371,23.541218167,87.294267667,84.50,0.009,0.050
1764076273373093245,2025-11-25 18:41:13.371,23.541226000,87.294262167,84.50,0.009,0.050
1764076274371990670,2025-11-25 18:41:14.370,23.541233833,87.294257167,84.50,0.009,0.050
1764076275390481392,2025-11-25 18:41:15.389,23.541241667,87.294252167,84.50,0.009,0.050
1764076276373771928,2025-11-25 18:41:16.371,23.541249667,87.294248000,84.50,0.009,0.050
1764076277372623817,2025-11-25 18:41:17.370,23.541257667,87.294244167,84.50,0.009,0.050
1764076278373539223,2025-11-25 18:41:18.371,23.541266000,87.294240000,84.60,0.009,0.050
1764076279374353241,2025-11-25 18:41:19.372,23.541274333,87.294236667,84.60,0.009,0.050
1764076280390660778,2025-11-25 18:41:20.389,23.541283167,87.294233333,84.50,0.009,0.050
1764076281390969092,2025-11-25 18:41:21.389,23.541291667,87.294230000,84.50,0.009,0.050
1764076282374221888,2025-11-25 18:41:22.372,23.541300333,87.294226000,84.50,0.009,0.050
1764076283373232850,2025-11-25 18:41:23.371,23.541309167,87.294221667,84.50,0.009,0.050
1764076284375147257,2025-11-25 18:41:24.371,23.541317500,87.294217000,84.50,0.009,0.050
1764076285373287664,2025-11-25 18:41:25.371,23.541325833,87.294212167,84.50,0.009,0.050
1764076286372386274,2025-11-25 18:41:26.369,23.541334333,87.294207167,84.50,0.009,0.050
1764076287372526866,2025-11-25 18:41:27.370,23.541342500,87.294201833,84.50,0.009,0.050
1764076288373588051,2025-11-25 18:41:28.371,23.541350833,87.294196167,84.50,0.009,0.050
1764076289374205643,2025-11-25 18:41:29.372,23.541359333,87.294191000,84.60,0.009,0.050
1764076290375923476,2025-11-25 18:41:30.373,23.541367667,87.294185833,84.70,0.009,0.050
1764076291390406901,2025-11-25 18:41:31.389,23.541376167,87.294181000,84.70,0.010,0.050
1764076292373713863,2025-11-25 18:41:32.371,23.541384667,87.294176000,84.70,0.009,0.050
1764076293391050603,2025-11-25 18:41:33.389,23.541393333,87.294170667,84.70,0.009,0.050
1764076294372569658,2025-11-25 18:41:34.370,23.541401833,87.294165500,84.70,0.009,0.050
1764076295373251139,2025-11-25 18:41:35.371,23.541410500,87.294159833,84.70,0.010,0.050
1764076296373010102,2025-11-25 18:41:36.371,23.541417667,87.294152333,84.60,0.009,0.050
1764076297371539249,2025-11-25 18:41:37.369,23.541423333,87.294143167,84.70,0.009,0.050
1764076298373680360,2025-11-25 18:41:38.371,23.541428000,87.294133500,84.80,0.009,0.050
1764076299373268100,2025-11-25 18:41:39.371,23.541432000,87.294123333,84.80,0.010,0.050
1764076300373080710,2025-11-25 18:41:40.371,23.541435333,87.294113333,84.80,0.009,0.050
1764076301373934395,2025-11-25 18:41:41.372,23.541438333,87.294103333,84.90,0.009,0.050
1764076302376041394,2025-11-25 18:41:42.372,23.541441667,87.294094000,84.90,0.009,0.050
1764076303371537190,2025-11-25 18:41:43.369,23.541445333,87.294084833,84.90,0.010,0.050
1764076304373887189,2025-11-25 18:41:44.371,23.541449333,87.294075833,84.90,0.010,0.050
1764076305373773281,2025-11-25 18:41:45.371,23.541453667,87.294067333,84.90,0.010,0.050
1764076306373798355,2025-11-25 18:41:46.372,23.541458167,87.294058833,84.90,0.010,0.050
1764076307373450354,2025-11-25 18:41:47.371,23.541462667,87.294050167,84.80,0.010,0.050
1764076308373230631,2025-11-25 18:41:48.371,23.541467333,87.294041167,84.80,0.010,0.050
1764076309374061149,2025-11-25 18:41:49.371,23.541471833,87.294032167,84.80,0.010,0.050
1764076310373210686,2025-11-25 18:41:50.371,23.541476500,87.294023333,84.80,0.010,0.050
1764076311373735019,2025-11-25 18:41:51.371,23.541480833,87.294014333,84.80,0.010,0.050
1764076312373620962,2025-11-25 18:41:52.371,23.541482833,87.294010000,84.80,0.010,0.050
1764076313373090351,2025-11-25 18:41:53.371,23.541483500,87.294008500,84.80,0.010,0.050
1764076314374457683,2025-11-25 18:41:54.370,23.541484333,87.294007833,84.80,0.010,0.050
1764076315372508053,2025-11-25 18:41:55.370,23.541485167,87.294007167,84.90,0.010,0.050
1764076316373425534,2025-11-25 18:41:56.371,23.541482167,87.294003667,84.80,0.010,0.050
1764076317373263219,2025-11-25 18:41:57.371,23.541476167,87.293998667,84.80,0.010,0.050
1764076318373477644,2025-11-25 18:41:58.371,23.541469333,87.293994000,84.80,0.010,0.050
1764076319376642199,2025-11-25 18:41:59.374,23.541461833,87.293989500,84.80,0.010,0.050
1764076320373308884,2025-11-25 18:42:00.371,23.541453833,87.293985833,84.90,0.010,0.050
1764076321374167068,2025-11-25 18:42:01.372,23.541445500,87.293982833,84.80,0.010,0.050
1764076322391399771,2025-11-25 18:42:02.389,23.541437000,87.293980000,84.80,0.010,0.050
1764076323372898919,2025-11-25 18:42:03.371,23.541428500,87.293977000,84.80,0.010,0.050
1764076324373872900,2025-11-25 18:42:04.371,23.541420167,87.293973833,84.70,0.010,0.050
1764076325390433529,2025-11-25 18:42:05.389,23.541411833,87.293970000,84.70,0.010,0.050
1764076326374052861,2025-11-25 18:42:06.371,23.541403667,87.293965833,84.60,0.010,0.050
1764076327372383305,2025-11-25 18:42:07.370,23.541395667,87.293961333,84.60,0.010,0.050
1764076328372541008,2025-11-25 18:42:08.370,23.541388000,87.293956667,84.60,0.010,0.050
1764076329391005156,2025-11-25 18:42:09.389,23.541380333,87.293951833,84.60,0.010,0.050
1764076330373152674,2025-11-25 18:42:10.371,23.541372833,87.293946833,84.60,0.010,0.050
1764076331390454433,2025-11-25 18:42:11.389,23.541365000,87.293941833,84.60,0.010,0.050
1764076332373337191,2025-11-25 18:42:12.371,23.541357167,87.293936667,84.50,0.010,0.050
1764076333373317561,2025-11-25 18:42:13.371,23.541349000,87.293931500,84.60,0.010,0.050
1764076334372822209,2025-11-25 18:42:14.370,23.541340833,87.293926333,84.60,0.010,0.050
1764076335371955245,2025-11-25 18:42:15.370,23.541332667,87.293921333,84.60,0.010,0.050
1764076336372815022,2025-11-25 18:42:16.370,23.541324500,87.293916333,84.50,0.010,0.050
1764076337372206299,2025-11-25 18:42:17.370,23.541316167,87.293911500,84.50,0.010,0.050
1764076338374343280,2025-11-25 18:42:18.372,23.541308167,87.293907000,84.60,0.010,0.050
1764076339373227243,2025-11-25 18:42:19.371,23.541304167,87.293905000,84.60,0.011,0.050
1764076340373137890,2025-11-25 18:42:20.371,23.541303500,87.293904167,84.50,0.010,0.050
1764076341372819556,2025-11-25 18:42:21.371,23.541303500,87.293903167,84.50,0.010,0.050
1764076342372562482,2025-11-25 18:42:22.370,23.541303500,87.293901833,84.50,0.010,0.050
1764076343390817222,2025-11-25 18:42:23.389,23.541303333,87.293900500,84.50,0.010,0.050
1764076344373479888,2025-11-25 18:42:24.371,23.541300833,87.293903500,84.50,0.010,0.050
1764076345390879165,2025-11-25 18:42:25.389,23.541297167,87.293910500,84.40,0.009,0.050
1764076346375169257,2025-11-25 18:42:26.372,23.541294000,87.293918833,84.40,0.011,0.050
1764076347390789923,2025-11-25 18:42:27.389,23.541291667,87.293927500,84.40,0.010,0.050
1764076348373932089,2025-11-25 18:42:28.372,23.541289167,87.293936500,84.40,0.010,0.050
1764076349391033292,2025-11-25 18:42:29.389,23.541286500,87.293945500,84.50,0.010,0.050
1764076350372912810,2025-11-25 18:42:30.371,23.541283667,87.293954667,84.50,0.010,0.050
1764076351390892476,2025-11-25 18:42:31.389,23.541280667,87.293963833,84.50,0.010,0.050
1764076352391134661,2025-11-25 18:42:32.389,23.541277333,87.293972833,84.50,0.010,0.050
