Timestamp,Time,Roll,Pitch,Yaw,Magnetic_Field_X,Magnetic_Field_Y,Magnetic_Field_Z,Angular_Rate_X,Angular_Rate_Y,Angular_Rate_Z,Acceleration_X,Acceleration_Y,Acceleration_Z
1764076214203898651,2025-11-25 18:40:14.178,-1.269000,1.350000,58.039000,0.268400,0.178300,0.135800,0.223000,0.249000,-10.138000,-0.001570,0.002135,-0.006781
1764076214212410928,2025-11-25 18:40:14.207,-1.270000,1.351000,58.033000,0.268300,0.177400,0.134700,0.228000,0.237000,-10.136000,-0.000064,0.000304,-0.005952
1764076214224926336,2025-11-25 18:40:14.220,-1.271000,1.352000,58.024000,0.269400,0.183900,0.137800,0.242000,0.220000,-10.106000,0.000439,-0.000218,-0.004979
1764076214236533058,2025-11-25 18:40:14.232,-1.268000,1.352000,58.016000,0.269200,0.176400,0.140000,0.243000,0.256000,-10.150000,0.001722,-0.000262,-0.004080
1764076214253448669,2025-11-25 18:40:14.248,-1.266000,1.349000,58.005000,0.269200,0.177400,0.140000,0.241000,0.241000,-10.140000,0.002867,-0.001296,-0.004784
1764076214279885428,2025-11-25 18:40:14.274,-1.261000,1.348000,57.999000,0.267600,0.176500,0.160600,0.243000,0.236000,-10.148000,0.004192,-0.000723,-0.005319
1764076214305791076,2025-11-25 18:40:14.300,-1.255000,1.345000,57.989000,0.268300,0.174600,0.137900,0.228000,0.234000,-10.155000,0.004876,-0.002741,-0.005570
1764076214332306465,2025-11-25 18:40:14.328,-1.248000,1.343000,57.980000,0.267500,0.180200,0.138800,0.259000,0.230000,-10.094000,0.005897,-0.002741,-0.005480
1764076214393004780,2025-11-25 18:40:14.390,-1.233000,1.335000,57.962000,0.267500,0.177400,0.145000,0.266000,0.227000,-10.144000,0.006631,-0.002686,-0.006199
1764076214403602947,2025-11-25 18:40:14.401,-1.224000,1.331000,57.950000,0.269200,0.173700,0.142100,0.236000,0.216000,-10.160000,0.007210,-0.003349,-0.005419
1764076214429081058,2025-11-25 18:40:14.425,-1.215000,1.325000,57.941000,0.267500,0.177400,0.139900,0.251000,0.210000,-10.160000,0.005592,-0.003700,-0.006521
1764076214453371299,2025-11-25 18:40:14.450,-1.206000,1.321000,57.932000,0.269500,0.191400,0.137800,0.240000,0.223000,-10.148000,0.006013,-0.003816,-0.005461
1764076214496085261,2025-11-25 18:40:14.492,-1.198000,1.316000,57.922000,0.267500,0.176500,0.138900,0.266000,0.204000,-10.133000,0.005103,-0.003358,-0.005725
1764076214519559836,2025-11-25 18:40:14.508,-1.190000,1.312000,57.915000,0.269200,0.177400,0.131700,0.243000,0.196000,-10.150000,0.005393,-0.003418,-0.005237
1764076214530058428,2025-11-25 18:40:14.527,-1.185000,1.307000,57.907000,0.268400,0.176500,0.143000,0.215000,0.218000,-10.138000,0.003918,-0.004046,-0.005456
1764076214553172965,2025-11-25 18:40:14.548,-1.180000,1.303000,57.899000,0.271000,0.179200,0.136900,0.233000,0.207000,-10.143000,0.003378,-0.002685,-0.005700
1764076214578439224,2025-11-25 18:40:14.575,-1.176000,1.300000,57.890000,0.267600,0.183900,0.137800,0.197000,0.210000,-10.105000,0.001655,-0.001699,-0.005788
