Timestamp,Time,Roll,Pitch,Yaw,Velocity_Increment_X,Velocity_Increment_Y,Velocity_Increment_Z,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z,Pressure
1764076212070368596,2025-11-25 18:40:12.067,0.707499,0.443232,159.364410,0.007007,0.009790,0.978636,0.080184,0.142399,9.775222,0.002903,0.000689,0.007387,0.809502,-0.329917,-1.207149,100278.0000
1764076212175049763,2025-11-25 18:40:12.166,0.725150,0.443765,159.293213,0.007630,0.009925,0.978861,0.061252,0.019610,9.779550,0.005688,0.002030,0.007841,0.810018,-0.326053,-1.205290,100282.0000
1764076212280759967,2025-11-25 18:40:12.268,0.756156,0.436988,159.223404,0.007853,0.011512,0.978927,0.083839,0.051994,9.827980,0.001422,0.003252,0.002569,0.808050,-0.331834,-1.207099,100279.0000
1764076212366914615,2025-11-25 18:40:12.360,0.782627,0.424717,159.145157,0.007139,0.013282,0.978777,0.080938,0.209576,9.789767,0.006131,0.000217,0.007040,0.809031,-0.330366,-1.205691,100283.0000
1764076212476245226,2025-11-25 18:40:12.469,0.789486,0.409593,159.062439,0.006731,0.013765,0.978945,0.063886,0.197724,9.767761,0.003497,-0.000612,0.010958,0.809027,-0.332734,-1.204692,100281.0000
1764076212576948318,2025-11-25 18:40:12.570,0.779908,0.401548,158.981323,0.006092,0.013708,0.978681,0.048039,0.088828,9.782408,-0.002872,0.000941,0.009135,0.808061,-0.331804,-1.205655,100280.0000
1764076212675878114,2025-11-25 18:40:12.669,0.768490,0.404419,158.901062,0.005650,0.012885,0.978436,0.063821,0.036931,9.811504,-0.005571,0.002094,0.006094,0.806138,-0.333692,-1.204153,100282.0000
1764076212772478337,2025-11-25 18:40:12.766,0.761618,0.418312,158.827301,0.005647,0.011874,0.978116,0.066622,0.117142,9.784805,-0.003191,-0.001754,0.003687,0.806617,-0.332755,-1.205137,100281.0000
1764076212872952003,2025-11-25 18:40:12.866,0.757277,0.437546,158.752014,0.006599,0.011785,0.978216,0.059371,0.203820,9.765852,0.006030,-0.003946,0.007554,0.805661,-0.332272,-1.204649,100280.0000
1764076212972028762,2025-11-25 18:40:12.966,0.758570,0.455439,158.677719,0.007296,0.011464,0.978537,0.076137,0.137832,9.780138,-0.002669,-0.005085,0.006246,0.805159,-0.333270,-1.206553,100281.0000
1764076213073161410,2025-11-25 18:40:13.066,0.759066,0.462416,158.597855,0.007695,0.012142,0.979093,0.084113,0.028519,9.796281,-0.001201,0.001027,0.008521,0.804681,-0.332795,-1.206553,100281.0000
1764076213172818799,2025-11-25 18:40:13.166,0.753151,0.460703,158.518982,0.007857,0.012304,0.979325,0.065792,0.054112,9.790854,0.000523,0.002163,0.006304,0.804203,-0.332786,-1.206065,100283.0000
1764076213273383392,2025-11-25 18:40:13.266,0.746471,0.451517,158.438782,0.007952,0.011757,0.979626,0.068245,0.179453,9.806039,0.000922,-0.000613,0.004311,0.806100,-0.335207,-1.207982,100284.0000
1764076213380196929,2025-11-25 18:40:13.373,0.751395,0.436372,158.358032,0.007388,0.010799,0.979496,0.091799,0.195013,9.776981,0.005156,0.003309,0.009540,0.807074,-0.335172,-1.206552,100286.0000
1764076213469837318,2025-11-25 18:40:13.467,0.765227,0.421337,158.281540,0.006854,0.010929,0.979152,0.045770,0.079534,9.761888,-0.001905,0.002773,0.007852,0.804707,-0.331311,-1.204168,100284.0000
1764076213572556336,2025-11-25 18:40:13.569,0.792562,0.412677,158.207779,0.006521,0.012190,0.978409,0.065823,0.046456,9.794578,0.000551,0.002369,0.007473,0.802282,-0.335143,-1.204074,100280.0000
