Timestamp,Time,Latitude,Longitude,Altitude,Horizontal_Accuracy,Vertical_Accuracy
1764073545153291630,2025-11-25 17:55:45.150,23.535420167,87.300905000,85.50,0.009,0.050
1764073546153003000,2025-11-25 17:55:46.151,23.535420167,87.300904833,85.40,0.009,0.050
1764073547153418074,2025-11-25 17:55:47.151,23.535420167,87.300904667,85.40,0.009,0.050
1764073548162198740,2025-11-25 17:55:48.155,23.535420167,87.300904667,85.40,0.009,0.050
1764073549152783369,2025-11-25 17:55:49.151,23.535420167,87.300904500,85.30,0.009,0.050
1764073550152789220,2025-11-25 17:55:50.151,23.535420167,87.300904333,85.30,0.009,0.050
1764073551153033293,2025-11-25 17:55:51.151,23.535420167,87.300903833,85.40,0.009,0.050
1764073552173797237,2025-11-25 17:55:52.172,23.535420167,87.300903667,85.40,0.009,0.050
1764073553152815848,2025-11-25 17:55:53.151,23.535420167,87.300903333,85.40,0.009,0.050
1764073554152471977,2025-11-25 17:55:54.151,23.535420333,87.300903167,85.40,0.009,0.050
1764073555153194161,2025-11-25 17:55:55.151,23.535420333,87.300902833,85.50,0.009,0.050
1764073556175342013,2025-11-25 17:55:56.173,23.535420667,87.300902667,85.50,0.009,0.050
1764073557151998216,2025-11-25 17:55:57.150,23.535420667,87.300903000,85.40,0.009,0.050
1764073558153720160,2025-11-25 17:55:58.150,23.535420833,87.300902833,85.40,0.009,0.050
1764073559152715455,2025-11-25 17:55:59.151,23.535420833,87.300902667,85.40,0.009,0.050
1764073560153357529,2025-11-25 17:56:00.152,23.535420833,87.300902500,85.50,0.009,0.050
1764073561152707158,2025-11-25 17:56:01.151,23.535421000,87.300902167,85.50,0.009,0.050
1764073562152398972,2025-11-25 17:56:02.151,23.535421167,87.300902167,85.50,0.009,0.050
1764073563152881231,2025-11-25 17:56:03.151,23.535421333,87.300902000,85.50,0.009,0.050
1764073564152421138,2025-11-25 17:56:04.151,23.535421333,87.300901833,85.50,0.009,0.050
1764073565153330878,2025-11-25 17:56:05.152,23.535421500,87.300901667,85.50,0.009,0.050
1764073566152834210,2025-11-25 17:56:06.151,23.535421667,87.300901500,85.50,0.009,0.050
1764073567153075821,2025-11-25 17:56:07.151,23.535421667,87.300901500,85.50,0.009,0.050
1764073568152729265,2025-11-25 17:56:08.151,23.535421667,87.300901333,85.60,0.009,0.050
1764073569152438894,2025-11-25 17:56:09.151,23.535421667,87.300901333,85.60,0.009,0.050
1764073570153241097,2025-11-25 17:56:10.151,23.535421833,87.300901500,85.60,0.009,0.050
1764073571152324059,2025-11-25 17:56:11.150,23.535422000,87.300901500,85.60,0.009,0.050
1764073572152905540,2025-11-25 17:56:12.151,23.535422000,87.300901500,85.60,0.009,0.050
1764073573153359762,2025-11-25 17:56:13.151,23.535422167,87.300901500,85.60,0.009,0.050
1764073574174059224,2025-11-25 17:56:14.172,23.535422333,87.300901500,85.60,0.009,0.050
1764073575152756057,2025-11-25 17:56:15.151,23.535422500,87.300901667,85.60,0.009,0.050
1764073576152888334,2025-11-25 17:56:16.151,23.535422833,87.300901833,85.60,0.009,0.050
1764073577152770722,2025-11-25 17:56:17.151,23.535423000,87.300901833,85.60,0.009,0.050
1764073578153589592,2025-11-25 17:56:18.152,23.535423167,87.300901833,85.60,0.009,0.050
1764073579155486906,2025-11-25 17:56:19.153,23.535423333,87.300902000,85.60,0.009,0.050
1764073580153645628,2025-11-25 17:56:20.152,23.535423500,87.300902000,85.60,0.009,0.050
1764073581152583405,2025-11-25 17:56:21.151,23.535423667,87.300902000,85.70,0.009,0.050
1764073582174278997,2025-11-25 17:56:22.172,23.535423833,87.300902167,85.70,0.009,0.050
1764073583152850071,2025-11-25 17:56:23.151,23.535424167,87.300902333,85.70,0.009,0.050
1764073584152678274,2025-11-25 17:56:24.151,23.535424333,87.300902333,85.70,0.009,0.050
1764073585153777162,2025-11-25 17:56:25.152,23.535424500,87.300902500,85.70,0.009,0.050
1764073586152881773,2025-11-25 17:56:26.151,23.535424667,87.300902667,85.70,0.009,0.050
1764073587153159790,2025-11-25 17:56:27.151,23.535424833,87.300902833,85.70,0.009,0.050
1764073588175237512,2025-11-25 17:56:28.171,23.535424833,87.300903000,85.70,0.009,0.050
1764073589152910623,2025-11-25 17:56:29.151,23.535425000,87.300903000,85.70,0.009,0.050
1764073590153249215,2025-11-25 17:56:30.152,23.535424833,87.300903333,85.70,0.009,0.050
1764073591152093862,2025-11-25 17:56:31.150,23.535424000,87.300903333,85.80,0.009,0.050
1764073592174390621,2025-11-25 17:56:32.172,23.535423333,87.300903667,85.90,0.009,0.050
1764073593154304213,2025-11-25 17:56:33.152,23.535422500,87.300904167,85.90,0.009,0.050
1764073594153651268,2025-11-25 17:56:34.152,23.535421833,87.300904333,85.90,0.009,0.050
1764073595154248434,2025-11-25 17:56:35.152,23.535420833,87.300904500,85.90,0.009,0.050
1764073596153333785,2025-11-25 17:56:36.152,23.535420167,87.300905333,85.90,0.009,0.050
1764073597152757229,2025-11-25 17:56:37.151,23.535419500,87.300905500,85.80,0.008,0.050
1764073598174167247,2025-11-25 17:56:38.172,23.535419000,87.300905667,85.80,0.008,0.050
1764073599153130765,2025-11-25 17:56:39.151,23.535418500,87.300905833,85.80,0.008,0.050
1764073600153224746,2025-11-25 17:56:40.151,23.535418333,87.300905833,85.70,0.009,0.050
1764073601153347023,2025-11-25 17:56:41.152,23.535418500,87.300906667,85.60,0.009,0.050
1764073602175381115,2025-11-25 17:56:42.173,23.535418500,87.300907667,85.50,0.008,0.050
1764073603176252762,2025-11-25 17:56:43.172,23.535418667,87.300908500,85.40,0.008,0.050
1764073604152860688,2025-11-25 17:56:44.151,23.535418833,87.300909167,85.30,0.008,0.050
1764073605153124372,2025-11-25 17:56:45.151,23.535419333,87.300909500,85.30,0.008,0.050
1764073606173738909,2025-11-25 17:56:46.172,23.535419500,87.300910000,85.30,0.009,0.050
1764073607154324556,2025-11-25 17:56:47.152,23.535419333,87.300910667,85.40,0.009,0.050
1764073608174524796,2025-11-25 17:56:48.172,23.535419167,87.300910833,85.50,0.009,0.050
1764073609173656018,2025-11-25 17:56:49.171,23.535419667,87.300911000,85.50,0.009,0.050
1764073610174614332,2025-11-25 17:56:50.172,23.535420500,87.300911000,85.60,0.009,0.050
1764073611153378202,2025-11-25 17:56:51.151,23.535421000,87.300911000,85.60,0.009,0.050
1764073612152793942,2025-11-25 17:56:52.151,23.535421167,87.300911000,85.70,0.008,0.050
1764073613152255979,2025-11-25 17:56:53.150,23.535421333,87.300910833,85.70,0.009,0.050
1764073614152978552,2025-11-25 17:56:54.151,23.535421667,87.300911000,85.70,0.009,0.050
1764073615152965181,2025-11-25 17:56:55.151,23.535421667,87.300911000,85.70,0.009,0.050
1764073616178693458,2025-11-25 17:56:56.174,23.535422000,87.300910333,85.80,0.009,0.050
1764073617152821606,2025-11-25 17:56:57.151,23.535422167,87.300910000,85.90,0.009,0.050
1764073618153297050,2025-11-25 17:56:58.151,23.535421667,87.300909333,86.10,0.009,0.050
1764073619153872660,2025-11-25 17:56:59.152,23.535421667,87.300909000,86.10,0.009,0.050
1764073620154055549,2025-11-25 17:57:00.152,23.535421333,87.300908500,86.00,0.008,0.050
1764073621153345807,2025-11-25 17:57:01.152,23.535420667,87.300908333,86.00,0.008,0.050
1764073622153042251,2025-11-25 17:57:02.151,23.535420500,87.300907833,86.00,0.009,0.050
1764073623153011176,2025-11-25 17:57:03.151,23.535420833,87.300907167,86.00,0.008,0.050
1764073624174571250,2025-11-25 17:57:04.172,23.535421333,87.300906333,86.10,0.008,0.050
1764073625173825231,2025-11-25 17:57:05.172,23.535421333,87.300906333,86.10,0.008,0.050
1764073626174105526,2025-11-25 17:57:06.172,23.535421500,87.300906333,86.00,0.008,0.050
1764073627152363044,2025-11-25 17:57:07.151,23.535421500,87.300906167,86.00,0.008,0.050
1764073628175660433,2025-11-25 17:57:08.173,23.535421333,87.300906000,85.90,0.008,0.050
1764073629153234951,2025-11-25 17:57:09.151,23.535421333,87.300905667,85.90,0.008,0.050
1764073630174138839,2025-11-25 17:57:10.172,23.535421333,87.300905333,85.80,0.008,0.050
1764073631153073227,2025-11-25 17:57:11.151,23.535421333,87.300904667,85.80,0.008,0.050
1764073632174113412,2025-11-25 17:57:12.172,23.535421333,87.300904333,85.80,0.008,0.050
1764073633153631504,2025-11-25 17:57:13.152,23.535421667,87.300901167,85.80,0.008,0.050
1764073634174392540,2025-11-25 17:57:14.172,23.535423000,87.300893333,85.70,0.008,0.050
1764073635153285854,2025-11-25 17:57:15.151,23.535424500,87.300884167,85.70,0.008,0.050
1764073636173473187,2025-11-25 17:57:16.171,23.535425333,87.300875000,85.70,0.008,0.050
1764073637153444501,2025-11-25 17:57:17.151,23.535425333,87.300865833,85.70,0.009,0.050
1764073638172751686,2025-11-25 17:57:18.171,23.535424667,87.300856500,85.70,0.009,0.050
1764073639152811926,2025-11-25 17:57:19.151,23.535423500,87.300846833,85.70,0.009,0.050
1764073640153047148,2025-11-25 17:57:20.151,23.535422333,87.300837500,85.60,0.009,0.050
1764073641152593073,2025-11-25 17:57:21.151,23.535420833,87.300828000,85.50,0.008,0.050
1764073642172997628,2025-11-25 17:57:22.171,23.535419333,87.300818500,85.40,0.008,0.050
