Timestamp,Time,Roll,Pitch,Yaw,Magnetic_Field_X,Magnetic_Field_Y,Magnetic_Field_Z,Angular_Rate_X,Angular_Rate_Y,Angular_Rate_Z,Acceleration_X,Acceleration_Y,Acceleration_Z
1764073549824039961,2025-11-25 17:55:49.821,-1.360000,1.686000,282.618000,0.065200,0.315600,0.207800,0.302000,0.237000,-10.119000,-0.006390,0.000936,0.000813
1764073549849052090,2025-11-25 17:55:49.846,-1.370000,1.687000,282.620000,0.066200,0.319400,0.179500,0.269000,0.247000,-10.124000,-0.006740,0.000678,0.000195
1764073549875696924,2025-11-25 17:55:49.873,-1.380000,1.687000,282.620000,0.067200,0.320500,0.205700,0.306000,0.260000,-10.151000,-0.006861,0.000948,0.000141
1764073549898198109,2025-11-25 17:55:49.895,-1.389000,1.689000,282.619000,0.066200,0.317500,0.206700,0.301000,0.284000,-10.138000,-0.005816,0.001531,-0.000932
1764073549923788887,2025-11-25 17:55:49.921,-1.399000,1.691000,282.620000,0.065200,0.317500,0.188200,0.287000,0.276000,-10.108000,-0.006373,0.001103,-0.000165
1764073549950080887,2025-11-25 17:55:49.947,-1.408000,1.690000,282.620000,0.064300,0.317600,0.205500,0.316000,0.248000,-10.095000,-0.003449,0.000139,0.000157
1764073549974844109,2025-11-25 17:55:49.972,-1.417000,1.692000,282.619000,0.066100,0.317500,0.182800,0.294000,0.283000,-10.114000,-0.003761,-0.000941,-0.000384
1764073550000478164,2025-11-25 17:55:49.997,-1.423000,1.692000,282.618000,0.066200,0.318500,0.204500,0.311000,0.255000,-10.079000,-0.002850,0.000662,0.000008
1764073550062177572,2025-11-25 17:55:50.060,-1.430000,1.691000,282.615000,0.065300,0.317600,0.208900,0.296000,0.278000,-10.110000,-0.000358,-0.001443,0.000570
1764073550071643961,2025-11-25 17:55:50.069,-1.431000,1.688000,282.616000,0.065400,0.322500,0.205600,0.315000,0.255000,-10.110000,0.001278,-0.002754,-0.000441
1764073550098528405,2025-11-25 17:55:50.096,-1.430000,1.687000,282.615000,0.066200,0.317500,0.205600,0.269000,0.287000,-10.094000,0.002085,-0.000762,0.000095
1764073550121721461,2025-11-25 17:55:50.119,-1.428000,1.683000,282.615000,0.066200,0.319400,0.187100,0.309000,0.260000,-10.081000,0.001927,-0.001569,0.001161
1764073550149794609,2025-11-25 17:55:50.146,-1.425000,1.679000,282.617000,0.065200,0.313600,0.205600,0.300000,0.275000,-10.119000,0.003341,-0.002914,0.000273
1764073550174146275,2025-11-25 17:55:50.171,-1.419000,1.676000,282.618000,0.067000,0.311600,0.186200,0.271000,0.246000,-10.095000,0.003594,-0.002291,-0.000084
1764073550198066590,2025-11-25 17:55:50.195,-1.412000,1.672000,282.620000,0.066200,0.317500,0.202400,0.302000,0.252000,-10.114000,0.006324,-0.002674,0.001857
1764073550222670350,2025-11-25 17:55:50.220,-1.405000,1.669000,282.620000,0.064300,0.313600,0.207700,0.256000,0.251000,-10.125000,0.004375,-0.000584,0.000827
1764073550249177016,2025-11-25 17:55:50.246,-1.397000,1.665000,282.621000,0.067900,0.313500,0.189500,0.306000,0.235000,-10.123000,0.005067,-0.001587,0.000178
1764073550275684442,2025-11-25 17:55:50.272,-1.390000,1.660000,282.624000,0.066200,0.315600,0.211100,0.305000,0.255000,-10.139000,0.003889,-0.003265,0.001706
1764073550297713146,2025-11-25 17:55:50.295,-1.384000,1.658000,282.625000,0.065200,0.312600,0.208900,0.280000,0.244000,-10.101000,0.004221,-0.002954,0.000914
1764073550323222775,2025-11-25 17:55:50.320,-1.378000,1.654000,282.628000,0.065200,0.314600,0.202300,0.303000,0.207000,-10.137000,0.003211,-0.001251,0.000895
1764073550349775090,2025-11-25 17:55:50.346,-1.372000,1.653000,282.628000,0.065200,0.318500,0.186000,0.286000,0.244000,-10.167000,0.003871,-0.001387,0.001119
1764073550375056498,2025-11-25 17:55:50.372,-1.368000,1.653000,282.628000,0.066100,0.313600,0.208900,0.308000,0.222000,-10.141000,0.003409,0.000106,-0.000118
1764073550398504072,2025-11-25 17:55:50.395,-1.364000,1.652000,282.627000,0.066200,0.318500,0.208900,0.281000,0.213000,-10.112000,0.001965,-0.000120,-0.000092
1764073550422834831,2025-11-25 17:55:50.420,-1.360000,1.652000,282.627000,0.064300,0.313600,0.205600,0.272000,0.229000,-10.134000,0.002402,0.000470,0.000758
1764073550447817701,2025-11-25 17:55:50.445,-1.358000,1.654000,282.627000,0.065200,0.318500,0.184900,0.304000,0.224000,-10.128000,0.000813,0.001750,0.000186
1764073550471241923,2025-11-25 17:55:50.469,-1.358000,1.657000,282.625000,0.067200,0.319500,0.205700,0.259000,0.247000,-10.120000,-0.001042,0.001484,-0.000757
1764073550498075535,2025-11-25 17:55:50.495,-1.356000,1.660000,282.626000,0.068100,0.317500,0.207900,0.311000,0.227000,-10.141000,0.000110,0.002445,0.001015
1764073550522744035,2025-11-25 17:55:50.520,-1.358000,1.663000,282.625000,0.067200,0.318500,0.205700,0.291000,0.247000,-10.135000,0.000232,0.002272,0.001465
1764073550548454183,2025-11-25 17:55:50.545,-1.359000,1.667000,282.627000,0.067100,0.319400,0.188300,0.263000,0.258000,-10.129000,-0.000827,0.002697,-0.000195
1764073550574238220,2025-11-25 17:55:50.571,-1.360000,1.671000,282.626000,0.068000,0.314600,0.206800,0.304000,0.231000,-10.114000,-0.001115,0.003142,0.000629
1764073550598181386,2025-11-25 17:55:50.595,-1.361000,1.675000,282.624000,0.065200,0.318500,0.181700,0.288000,0.243000,-10.117000,-0.000256,0.002745,-0.000577
1764073550624622312,2025-11-25 17:55:50.621,-1.361000,1.681000,282.622000,0.067100,0.317500,0.188300,0.307000,0.237000,-10.090000,0.000227,0.003585,-0.001111
1764073550648676590,2025-11-25 17:55:50.646,-1.362000,1.684000,282.623000,0.066200,0.317500,0.207800,0.327000,0.253000,-10.101000,0.000802,0.002975,-0.000505
1764073550674204053,2025-11-25 17:55:50.671,-1.362000,1.689000,282.624000,0.066100,0.314600,0.202400,0.271000,0.261000,-10.152000,0.000736,0.003004,0.002260
1764073550697746257,2025-11-25 17:55:50.695,-1.363000,1.693000,282.624000,0.065100,0.312600,0.186000,0.318000,0.238000,-10.117000,-0.000327,0.002407,-0.000634
1764073550722923627,2025-11-25 17:55:50.720,-1.364000,1.696000,282.626000,0.066200,0.318400,0.182800,0.303000,0.243000,-10.094000,-0.000680,0.002231,0.000761
1764073550748373645,2025-11-25 17:55:50.745,-1.364000,1.700000,282.626000,0.067100,0.317500,0.199200,0.309000,0.229000,-10.159000,-0.000838,0.001575,0.000385
1764073550774737071,2025-11-25 17:55:50.772,-1.365000,1.701000,282.628000,0.066200,0.315500,0.201300,0.327000,0.253000,-10.102000,-0.000380,0.000735,0.000147
1764073550798309479,2025-11-25 17:55:50.796,-1.366000,1.703000,282.629000,0.066200,0.315600,0.203500,0.291000,0.230000,-10.125000,-0.001064,0.001233,0.000440
1764073550822137794,2025-11-25 17:55:50.819,-1.366000,1.705000,282.631000,0.067100,0.320400,0.183900,0.293000,0.217000,-10.103000,-0.000375,-0.000149,0.002329
1764073550848680479,2025-11-25 17:55:50.845,-1.369000,1.705000,282.631000,0.067300,0.326300,0.183900,0.330000,0.253000,-10.111000,-0.001905,0.000359,-0.000712
1764073550875113442,2025-11-25 17:55:50.872,-1.370000,1.706000,282.632000,0.065400,0.323400,0.206600,0.322000,0.240000,-10.116000,-0.001226,-0.001015,0.000961
1764073550898602219,2025-11-25 17:55:50.895,-1.372000,1.705000,282.633000,0.066100,0.317500,0.183900,0.321000,0.215000,-10.114000,-0.002460,-0.001293,0.001481
1764073550923794294,2025-11-25 17:55:50.920,-1.374000,1.703000,282.633000,0.067100,0.315500,0.190500,0.287000,0.257000,-10.139000,-0.000956,-0.002004,0.001198
1764073550951092590,2025-11-25 17:55:50.949,-1.377000,1.700000,282.633000,0.066100,0.314500,0.187200,0.299000,0.242000,-10.120000,-0.003616,-0.001919,-0.000284
1764073550973008516,2025-11-25 17:55:50.970,-1.380000,1.696000,282.635000,0.066200,0.318400,0.185000,0.311000,0.221000,-10.121000,-0.002787,-0.002813,0.001661
1764073550996255145,2025-11-25 17:55:50.993,-1.383000,1.694000,282.635000,0.067100,0.320400,0.187200,0.299000,0.238000,-10.110000,-0.002257,-0.002904,0.000098
1764073551065569423,2025-11-25 17:55:51.063,-1.392000,1.685000,282.636000,0.065400,0.321500,0.204500,0.297000,0.246000,-10.123000,-0.002964,-0.003634,0.001266
1764073551074784923,2025-11-25 17:55:51.072,-1.396000,1.681000,282.637000,0.067100,0.316500,0.204600,0.300000,0.238000,-10.124000,-0.003798,-0.003353,0.001015
1764073551098452571,2025-11-25 17:55:51.096,-1.400000,1.675000,282.636000,0.067200,0.319500,0.202400,0.310000,0.256000,-10.099000,-0.002877,-0.004420,0.000615
1764073551122590108,2025-11-25 17:55:51.120,-1.404000,1.672000,282.637000,0.063500,0.319500,0.203300,0.267000,0.250000,-10.097000,-0.003566,-0.002208,0.001682
1764073551149627590,2025-11-25 17:55:51.146,-1.409000,1.667000,282.637000,0.066300,0.321500,0.206700,0.324000,0.258000,-10.119000,-0.003501,-0.002781,0.001236
1764073551172137719,2025-11-25 17:55:51.169,-1.413000,1.663000,282.638000,0.066100,0.313600,0.205700,0.288000,0.261000,-10.086000,-0.002418,-0.003099,-0.000522
1764073551198349645,2025-11-25 17:55:51.195,-1.417000,1.660000,282.639000,0.066100,0.315500,0.187200,0.288000,0.258000,-10.118000,-0.002507,-0.002917,-0.000399
1764073551222445108,2025-11-25 17:55:51.220,-1.421000,1.654000,282.638000,0.066100,0.311600,0.206800,0.291000,0.269000,-10.154000,-0.002089,-0.001909,-0.000159
1764073551248341867,2025-11-25 17:55:51.245,-1.423000,1.653000,282.638000,0.067100,0.315600,0.207900,0.274000,0.279000,-10.132000,-0.000520,-0.000728,-0.000098
1764073551275315090,2025-11-25 17:55:51.272,-1.425000,1.652000,282.639000,0.065200,0.316500,0.186000,0.306000,0.240000,-10.105000,-0.000820,-0.000346,-0.000008
1764073551299286793,2025-11-25 17:55:51.296,-1.425000,1.651000,282.640000,0.066100,0.315500,0.183900,0.296000,0.269000,-10.127000,0.000107,-0.000209,0.000350
1764073551322806441,2025-11-25 17:55:51.320,-1.425000,1.653000,282.640000,0.064300,0.317600,0.206600,0.291000,0.237000,-10.093000,-0.000253,0.000802,-0.000458
1764073551348718645,2025-11-25 17:55:51.346,-1.424000,1.653000,282.640000,0.066100,0.316500,0.185000,0.311000,0.246000,-10.115000,0.000089,0.001468,0.000274
1764073551374229238,2025-11-25 17:55:51.371,-1.422000,1.656000,282.640000,0.064400,0.320400,0.184900,0.249000,0.271000,-10.103000,0.003155,0.002711,0.000055
1764073551398066127,2025-11-25 17:55:51.395,-1.419000,1.658000,282.639000,0.067100,0.316500,0.190500,0.294000,0.262000,-10.169000,0.002692,0.002960,-0.000283
1764073551422226923,2025-11-25 17:55:51.419,-1.416000,1.662000,282.641000,0.065300,0.316600,0.209900,0.284000,0.247000,-10.105000,0.002664,0.002804,0.000563
1764073551447635978,2025-11-25 17:55:51.444,-1.412000,1.668000,282.643000,0.066100,0.315500,0.182800,0.292000,0.238000,-10.144000,0.002608,0.003286,0.000404
1764073551475314423,2025-11-25 17:55:51.472,-1.408000,1.672000,282.644000,0.066100,0.315500,0.185000,0.280000,0.254000,-10.153000,0.002826,0.002573,0.001618
1764073551499389052,2025-11-25 17:55:51.496,-1.403000,1.675000,282.647000,0.067000,0.315500,0.185000,0.271000,0.244000,-10.098000,0.003458,0.003853,0.001636
1764073551522149071,2025-11-25 17:55:51.519,-1.398000,1.681000,282.650000,0.066200,0.317500,0.188200,0.287000,0.236000,-10.104000,0.003524,0.003498,0.002357
1764073551548820645,2025-11-25 17:55:51.545,-1.393000,1.684000,282.651000,0.065100,0.313600,0.187100,0.277000,0.253000,-10.136000,0.002976,0.003033,0.001272
1764073551574238386,2025-11-25 17:55:51.571,-1.389000,1.689000,282.654000,0.065300,0.316600,0.205600,0.284000,0.262000,-10.126000,0.002358,0.003239,0.001775
1764073551598017960,2025-11-25 17:55:51.595,-1.385000,1.693000,282.656000,0.065300,0.317600,0.211000,0.333000,0.235000,-10.133000,0.002913,0.002049,0.002834
1764073551622640867,2025-11-25 17:55:51.620,-1.380000,1.697000,282.659000,0.068200,0.323400,0.204600,0.295000,0.272000,-10.155000,0.002911,0.001323,0.001018
1764073551647479701,2025-11-25 17:55:51.644,-1.376000,1.700000,282.663000,0.066200,0.317500,0.205600,0.309000,0.250000,-10.118000,0.002779,0.002175,0.002147
1764073551674335756,2025-11-25 17:55:51.671,-1.371000,1.702000,282.665000,0.065200,0.316500,0.186000,0.297000,0.235000,-10.095000,0.002724,0.000674,0.003425
1764073551698583330,2025-11-25 17:55:51.696,-1.366000,1.704000,282.666000,0.070000,0.319400,0.204700,0.308000,0.259000,-10.131000,0.003393,0.000085,0.000576
1764073551722351626,2025-11-25 17:55:51.719,-1.362000,1.704000,282.670000,0.065200,0.317500,0.186000,0.331000,0.246000,-10.111000,0.002753,-0.000479,0.000404
1764073551747541015,2025-11-25 17:55:51.744,-1.359000,1.705000,282.667000,0.064300,0.317600,0.206600,0.292000,0.243000,-10.096000,0.003338,-0.000766,-0.000275
1764073551774868626,2025-11-25 17:55:51.772,-1.355000,1.706000,282.667000,0.065200,0.315600,0.205600,0.312000,0.267000,-10.148000,0.002420,-0.000938,0.000752
1764073551798279645,2025-11-25 17:55:51.795,-1.352000,1.704000,282.667000,0.067200,0.320500,0.207800,0.307000,0.234000,-10.088000,0.002974,-0.001506,-0.000572
1764073551821488330,2025-11-25 17:55:51.819,-1.348000,1.704000,282.667000,0.068100,0.319500,0.203500,0.258000,0.236000,-10.126000,0.002552,-0.000541,0.000798
