Timestamp,Time,Roll,Pitch,Yaw,Velocity_Increment_X,Velocity_Increment_Y,Velocity_Increment_Z,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z,Pressure
1764073539980629837,2025-11-25 17:55:39.973,0.297439,0.837958,282.784637,0.016866,0.011913,0.978000,0.152323,0.142032,9.767041,0.005399,0.009810,0.005428,0.338824,-0.631215,-1.203332,100339.0000
1764073540075649244,2025-11-25 17:55:40.073,0.285068,0.771287,282.779419,0.014518,0.011386,0.977163,0.095486,0.191031,9.757016,-0.004495,0.014866,0.002585,0.338813,-0.630300,-1.205272,100336.0000
1764073540176626041,2025-11-25 17:55:40.173,0.270537,0.714083,282.770142,0.010531,0.008521,0.977282,0.075750,0.033204,9.775462,-0.000808,0.011277,0.001218,0.340262,-0.629806,-1.204819,100344.0000
1764073540275866726,2025-11-25 17:55:40.273,0.263907,0.686465,282.763329,0.008062,0.006871,0.978089,0.083782,-0.008621,9.793232,-0.001307,0.002239,0.002857,0.339750,-0.632247,-1.207183,100337.0000
1764073540376264189,2025-11-25 17:55:40.373,0.282029,0.705337,282.754654,0.006961,0.007552,0.978817,0.075913,0.121174,9.787072,0.010194,-0.007515,0.008863,0.337850,-0.631249,-1.204762,100339.0000
1764073540477167392,2025-11-25 17:55:40.474,0.311520,0.765471,282.744232,0.008789,0.009097,0.979544,0.088744,0.183289,9.786253,0.000763,-0.013520,-0.000235,0.338357,-0.629763,-1.202384,100343.0000
1764073540577034763,2025-11-25 17:55:40.573,0.334936,0.838213,282.734711,0.012268,0.010603,0.979260,0.178987,0.049589,9.814380,0.003262,-0.010315,0.001995,0.338325,-0.633147,-1.204258,100339.0000
1764073540675663318,2025-11-25 17:55:40.673,0.337602,0.890234,282.725998,0.016142,0.012294,0.979142,0.215869,0.065581,9.790315,-0.002440,-0.005257,0.002660,0.338825,-0.629324,-1.204324,100341.0000
1764073540776863726,2025-11-25 17:55:40.773,0.318036,0.900290,282.717247,0.017486,0.012997,0.978603,0.144136,0.218712,9.748478,-0.000742,0.002746,0.001417,0.336407,-0.632668,-1.203756,100341.0000
1764073540876473448,2025-11-25 17:55:40.873,0.279687,0.868707,282.712082,0.016629,0.011070,0.978457,0.114419,0.128727,9.790507,-0.007235,0.007454,-0.002666,0.338318,-0.630810,-1.206702,100341.0000
1764073540976254874,2025-11-25 17:55:40.973,0.239309,0.816213,282.707169,0.014274,0.008490,0.978340,0.127978,-0.017536,9.803496,-0.001756,0.009017,0.003570,0.336891,-0.628886,-1.205747,100340.0000
1764073541075317725,2025-11-25 17:55:41.072,0.217378,0.760796,282.700897,0.011422,0.006706,0.978513,0.111817,0.054776,9.782422,-0.000545,0.006713,0.004181,0.338818,-0.629344,-1.205287,100339.0000
1764073541177237855,2025-11-25 17:55:41.173,0.218441,0.733012,282.696259,0.008958,0.006427,0.978493,0.058004,0.156209,9.757321,0.005731,-0.001673,0.003108,0.339274,-0.632706,-1.206205,100349.0000
1764073541275990855,2025-11-25 17:55:41.273,0.247213,0.743052,282.687958,0.008556,0.006641,0.978730,0.100134,0.069989,9.818303,0.012870,-0.005679,-0.000195,0.338794,-0.631763,-1.206695,100341.0000
1764073541375908281,2025-11-25 17:55:41.373,0.287791,0.783330,282.675552,0.009200,0.008832,0.978885,0.137051,0.015363,9.809417,0.001318,-0.008800,0.002731,0.337369,-0.632664,-1.203770,100339.0000
1764073541476538207,2025-11-25 17:55:41.473,0.316704,0.839957,282.666016,0.011796,0.012243,0.978961,0.124990,0.167438,9.782930,0.006703,-0.010351,0.006274,0.335918,-0.632691,-1.204712,100341.0000
1764073541576103744,2025-11-25 17:55:41.573,0.317483,0.886379,282.659012,0.014385,0.013941,0.979033,0.115698,0.222170,9.788673,-0.004330,-0.005597,0.000248,0.336888,-0.632666,-1.203763,100341.0000
1764073541676122484,2025-11-25 17:55:41.673,0.289965,0.905861,282.650719,0.016450,0.011951,0.978720,0.187013,0.037271,9.811071,-0.001547,-0.001787,0.002887,0.334958,-0.629860,-1.206185,100339.0000
