Timestamp,Time,Roll,Pitch,Yaw,Velocity_Increment_X,Velocity_Increment_Y,Velocity_Increment_Z,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z,Pressure
1764077388243396210,2025-11-25 18:59:48.237,0.638362,0.835734,61.376762,0.008361,0.015699,0.978689,0.093097,0.118017,9.811675,0.004003,0.000241,0.005926,0.146581,0.843608,-1.214817,100350.0000
1764077388339148691,2025-11-25 18:59:48.337,0.635844,0.839350,61.346760,0.009337,0.015687,0.978945,0.102830,0.111883,9.806207,0.002704,-0.002153,0.008378,0.147056,0.844067,-1.215794,100351.0000
1764077388439221377,2025-11-25 18:59:48.436,0.630183,0.838772,61.318871,0.009158,0.015912,0.978920,0.078321,0.116745,9.814828,-0.008366,-0.000410,0.005415,0.148025,0.843147,-1.214350,100350.0000
1764077388539430654,2025-11-25 18:59:48.536,0.628490,0.837399,61.290470,0.008999,0.015584,0.979017,0.109189,0.104033,9.813745,-0.004232,0.001042,0.007578,0.148492,0.844054,-1.216778,100346.0000
1764077388640571080,2025-11-25 18:59:48.636,0.629881,0.832490,61.258526,0.009007,0.015218,0.978911,0.108003,0.105269,9.820560,0.003177,0.000903,0.007839,0.149963,0.842719,-1.212445,100341.0000
1764077388738949080,2025-11-25 18:59:48.736,0.628158,0.826910,61.230244,0.008467,0.015397,0.979115,0.084179,0.104711,9.796361,0.000386,-0.000639,0.008810,0.147537,0.844069,-1.215801,100342.0000
1764077388838495154,2025-11-25 18:59:48.836,0.632493,0.821329,61.202698,0.008529,0.015388,0.978918,0.085345,0.090830,9.804011,-0.002661,0.002327,0.006534,0.150456,0.845109,-1.212489,100350.0000
1764077388938633636,2025-11-25 18:59:48.936,0.632198,0.819771,61.178284,0.008344,0.015345,0.978540,0.081851,0.094577,9.792053,-0.000010,0.000506,0.004949,0.149954,0.843166,-1.213897,100338.0000
1764077389038331173,2025-11-25 18:59:49.036,0.636533,0.823424,61.156147,0.008310,0.015484,0.978406,0.098373,0.086587,9.789591,0.008436,-0.002085,0.005834,0.151405,0.845551,-1.214436,100346.0000
1764077389138503247,2025-11-25 18:59:49.136,0.635973,0.825601,61.131260,0.008632,0.015726,0.978542,0.084395,0.120666,9.784558,0.001813,-0.000162,0.008158,0.152834,0.845516,-1.216383,100350.0000
1764077389237740006,2025-11-25 18:59:49.236,0.635790,0.829872,61.105080,0.008766,0.016038,0.978774,0.089447,0.164521,9.789977,-0.000041,-0.001682,0.007873,0.149954,0.845524,-1.215377,100344.0000
1764077389339965691,2025-11-25 18:59:49.337,0.632619,0.832797,61.081295,0.008860,0.015626,0.978921,0.077420,0.186377,9.765587,0.005003,-0.001078,0.006081,0.151887,0.845553,-1.214443,100349.0000
1764077389438542543,2025-11-25 18:59:49.436,0.631547,0.835306,61.054161,0.008901,0.015614,0.979083,0.075518,0.192630,9.763776,0.008051,-0.002962,0.007980,0.152373,0.845098,-1.213480,100342.0000
1764077389538678172,2025-11-25 18:59:49.536,0.627912,0.834484,61.028000,0.008981,0.015451,0.979043,0.084191,0.219515,9.756496,-0.000719,0.004073,0.007867,0.152831,0.842681,-1.214895,100346.0000
1764077389638826580,2025-11-25 18:59:49.636,0.627074,0.835171,61.006474,0.008964,0.015230,0.978915,0.089138,0.220770,9.771460,-0.003813,0.003597,0.007045,0.153343,0.846535,-1.213517,100346.0000
1764077389738549746,2025-11-25 18:59:49.736,0.626821,0.834026,60.983528,0.009031,0.015279,0.978868,0.081382,0.192813,9.791387,0.006526,0.000307,0.005591,0.154290,0.845086,-1.214472,100344.0000
1764077389838439691,2025-11-25 18:59:49.836,0.629450,0.832007,60.959801,0.008841,0.015361,0.978661,0.088130,0.155474,9.783739,0.008983,-0.002660,0.004738,0.155233,0.842681,-1.215412,100345.0000
1764077389938761820,2025-11-25 18:59:49.936,0.629238,0.828643,60.934769,0.008720,0.015212,0.978672,0.097517,0.120535,9.800343,0.002621,-0.003573,0.003976,0.154287,0.843663,-1.213968,100344.0000
1764077390038526024,2025-11-25 18:59:50.036,0.624969,0.829111,60.911777,0.008747,0.015773,0.978564,0.110390,0.105165,9.811049,-0.001976,-0.000954,0.005826,0.155247,0.844135,-1.214471,100347.0000
1764077390138428135,2025-11-25 18:59:50.136,0.626931,0.830661,60.890202,0.008665,0.015845,0.978666,0.097280,0.077838,9.793836,-0.000710,0.001086,0.003473,0.153320,0.845061,-1.215420,100347.0000
1764077390237770246,2025-11-25 18:59:50.236,0.629737,0.830385,60.867046,0.008427,0.015698,0.978815,0.106784,0.086082,9.796208,0.000530,-0.003667,0.007377,0.152837,0.845526,-1.215902,100352.0000
1764077390338892931,2025-11-25 18:59:50.336,0.626292,0.834473,60.846039,0.008675,0.015492,0.978791,0.089771,0.133149,9.795566,0.002583,-0.000078,0.007725,0.158138,0.844158,-1.214033,100341.0000
1764077390438514468,2025-11-25 18:59:50.436,0.623729,0.836003,60.825958,0.008657,0.015569,0.979004,0.090016,0.165622,9.773447,-0.002342,-0.002436,0.004528,0.156214,0.846507,-1.215485,100342.0000
1764077390538965690,2025-11-25 18:59:50.536,0.621469,0.836390,60.804401,0.009108,0.015696,0.978982,0.061058,0.191368,9.774426,0.000984,0.003929,0.007301,0.155729,0.844137,-1.214478,100348.0000
1764077390638551672,2025-11-25 18:59:50.636,0.622986,0.835150,60.783085,0.008781,0.015227,0.979087,0.055095,0.220558,9.772954,0.001443,0.001333,0.007071,0.155730,0.843670,-1.213990,100352.0000
1764077390738359820,2025-11-25 18:59:50.736,0.620026,0.834135,60.760933,0.008555,0.015321,0.978575,0.061189,0.210519,9.768527,0.002158,-0.001697,0.004415,0.157639,0.843637,-1.215944,100345.0000
1764077390839386986,2025-11-25 18:59:50.836,0.620350,0.833648,60.741199,0.008631,0.015230,0.978945,0.085744,0.196768,9.781280,-0.001720,-0.003279,0.002482,0.155737,0.845103,-1.214011,100342.0000
