Timestamp,Time,Latitude,Longitude,Altitude,Horizontal_Accuracy,Vertical_Accuracy
1779273320861854553,2026-05-20 16:05:20.860,23.541031333,87.294308333,84.00,0.009,0.050
1779273321857879737,2026-05-20 16:05:21.856,23.541031500,87.294308500,84.00,0.009,0.050
1779273322868014607,2026-05-20 16:05:22.867,23.541031500,87.294308667,83.90,0.009,0.050
1779273323861568958,2026-05-20 16:05:23.860,23.541031500,87.294309000,84.00,0.009,0.050
1779273324868987069,2026-05-20 16:05:24.868,23.541031500,87.294309333,83.90,0.009,0.050
1779273325856204735,2026-05-20 16:05:25.855,23.541031500,87.294309833,83.90,0.009,0.050
1779273326855912290,2026-05-20 16:05:26.855,23.541031333,87.294310500,83.90,0.009,0.050
1779273327853964752,2026-05-20 16:05:27.853,23.541031000,87.294311167,84.00,0.009,0.050
1779273328850294141,2026-05-20 16:05:28.849,23.541030333,87.294311833,84.00,0.009,0.050
1779273329858512714,2026-05-20 16:05:29.857,23.541032333,87.294308833,84.00,0.009,0.050
1779273330864448880,2026-05-20 16:05:30.863,23.541036333,87.294302167,84.10,0.009,0.050
1779273331854616824,2026-05-20 16:05:31.853,23.541040667,87.294294333,84.10,0.009,0.050
1779273332857575694,2026-05-20 16:05:32.856,23.541045000,87.294286333,84.10,0.009,0.050
1779273333863326619,2026-05-20 16:05:33.862,23.541049333,87.294278000,84.10,0.009,0.050
1779273334854534526,2026-05-20 16:05:34.853,23.541053667,87.294269833,84.00,0.009,0.050
1779273335852745803,2026-05-20 16:05:35.851,23.541058167,87.294261833,84.00,0.009,0.050
1779273336856731284,2026-05-20 16:05:36.855,23.541063000,87.294253833,84.10,0.009,0.050
1779273337852658154,2026-05-20 16:05:37.851,23.541067833,87.294246000,84.10,0.009,0.050
1779273338854606931,2026-05-20 16:05:38.853,23.541072667,87.294238000,84.10,0.009,0.050
1779273339858248690,2026-05-20 16:05:39.857,23.541077500,87.294230000,84.10,0.009,0.050
1779273340858386708,2026-05-20 16:05:40.857,23.541082500,87.294222000,84.10,0.009,0.050
1779273341856754318,2026-05-20 16:05:41.855,23.541087500,87.294214333,84.20,0.009,0.050
1779273342858686077,2026-05-20 16:05:42.857,23.541092667,87.294206500,84.20,0.009,0.050
1779273343858829650,2026-05-20 16:05:43.857,23.541097833,87.294198667,84.20,0.009,0.050
1779273344855917613,2026-05-20 16:05:44.854,23.541102833,87.294190667,84.20,0.009,0.050
1779273345856686019,2026-05-20 16:05:45.855,23.541107833,87.294182500,84.10,0.009,0.050
1779273346849881093,2026-05-20 16:05:46.848,23.541112833,87.294174500,84.10,0.009,0.050
1779273347861416629,2026-05-20 16:05:47.860,23.541117833,87.294166500,84.10,0.009,0.050
1779273348863428055,2026-05-20 16:05:48.862,23.541123000,87.294158667,84.00,0.009,0.050
1779273349858606850,2026-05-20 16:05:49.857,23.541128000,87.294150667,84.00,0.009,0.050
1779273350860632165,2026-05-20 16:05:50.859,23.541133167,87.294142667,84.00,0.009,0.050
1779273351857378182,2026-05-20 16:05:51.856,23.541138000,87.294134667,84.00,0.009,0.050
1779273352853802330,2026-05-20 16:05:52.852,23.541143000,87.294126667,84.00,0.009,0.050
1779273353853967422,2026-05-20 16:05:53.853,23.541148000,87.294118500,84.00,0.009,0.050
1779273354867491366,2026-05-20 16:05:54.866,23.541152833,87.294110333,84.00,0.009,0.050
1779273355848324791,2026-05-20 16:05:55.847,23.541157833,87.294102000,84.00,0.009,0.050
1779273356859886846,2026-05-20 16:05:56.858,23.541162833,87.294094000,84.00,0.009,0.050
1779273357859800605,2026-05-20 16:05:57.858,23.541168000,87.294086000,84.00,0.009,0.050
1779273358854646419,2026-05-20 16:05:58.853,23.541173000,87.294077833,84.00,0.009,0.050
1779273359854789585,2026-05-20 16:05:59.853,23.541178000,87.294069667,84.00,0.009,0.050
1779273360867750085,2026-05-20 16:06:00.866,23.541183000,87.294061667,84.00,0.009,0.050
1779273361853853065,2026-05-20 16:06:01.852,23.541188167,87.294053500,84.00,0.009,0.050
1779273362854591157,2026-05-20 16:06:02.853,23.541193167,87.294045500,84.00,0.009,0.050
1779273363856869046,2026-05-20 16:06:03.855,23.541198333,87.294037500,84.00,0.009,0.050
1779273364856917656,2026-05-20 16:06:04.856,23.541203167,87.294029333,84.00,0.009,0.050
1779273365862008656,2026-05-20 16:06:05.861,23.541208167,87.294021167,84.10,0.009,0.050
1779273366862569822,2026-05-20 16:06:06.861,23.541213000,87.294012833,84.10,0.009,0.050
1779273367861166858,2026-05-20 16:06:07.860,23.541218000,87.294004667,84.10,0.009,0.050
1779273368862705043,2026-05-20 16:06:08.861,23.541223000,87.293996500,84.10,0.009,0.050
1779273369857358746,2026-05-20 16:06:09.856,23.541227833,87.293988333,84.10,0.009,0.050
1779273370854969542,2026-05-20 16:06:10.854,23.541232833,87.293980167,84.10,0.009,0.050
1779273371855979263,2026-05-20 16:06:11.855,23.541237833,87.293971833,84.10,0.009,0.050
1779273372861161540,2026-05-20 16:06:12.860,23.541242833,87.293963833,84.10,0.009,0.050
1779273373849086114,2026-05-20 16:06:13.848,23.541247833,87.293955667,84.10,0.009,0.050
1779273374856523835,2026-05-20 16:06:14.855,23.541252833,87.293947500,84.10,0.009,0.050
1779273375862985261,2026-05-20 16:06:15.862,23.541257667,87.293939333,84.00,0.009,0.050
1779273376854821593,2026-05-20 16:06:16.853,23.541262500,87.293931500,84.00,0.009,0.050
1779273377857078056,2026-05-20 16:06:17.856,23.541265167,87.293927500,84.00,0.009,0.050
1779273378865022481,2026-05-20 16:06:18.864,23.541266667,87.293925833,84.00,0.009,0.050
1779273379858697295,2026-05-20 16:06:19.857,23.541268000,87.293924667,84.00,0.009,0.050
1779273380863199961,2026-05-20 16:06:20.862,23.541269000,87.293923833,84.00,0.009,0.050
1779273381856781072,2026-05-20 16:06:21.855,23.541271667,87.293924667,84.00,0.009,0.050
1779273382851662534,2026-05-20 16:06:22.850,23.541277833,87.293927833,84.00,0.009,0.050
1779273383855976997,2026-05-20 16:06:23.855,23.541285333,87.293932167,84.00,0.009,0.050
1779273384863524885,2026-05-20 16:06:24.862,23.541293000,87.293936667,84.10,0.009,0.050
1779273385860657644,2026-05-20 16:06:25.859,23.541300500,87.293940833,84.10,0.009,0.050
1779273386855050606,2026-05-20 16:06:26.854,23.541308167,87.293945000,84.00,0.009,0.050
1779273387857905291,2026-05-20 16:06:27.856,23.541315667,87.293949167,84.10,0.009,0.050
1779273388855052197,2026-05-20 16:06:28.854,23.541323500,87.293953333,84.10,0.009,0.050
1779273389858106660,2026-05-20 16:06:29.857,23.541331333,87.293957667,84.10,0.009,0.050
1779273390859886530,2026-05-20 16:06:30.859,23.541339167,87.293961833,84.20,0.009,0.050
1779273391851967862,2026-05-20 16:06:31.851,23.541347000,87.293966167,84.20,0.009,0.050
1779273392858086399,2026-05-20 16:06:32.857,23.541355000,87.293970500,84.20,0.009,0.050
1779273393857949806,2026-05-20 16:06:33.856,23.541362833,87.293974833,84.30,0.009,0.050
1779273394856951157,2026-05-20 16:06:34.856,23.541370833,87.293979000,84.30,0.009,0.050
1779273395857680508,2026-05-20 16:06:35.856,23.541378833,87.293983167,84.30,0.009,0.050
1779273396872241415,2026-05-20 16:06:36.871,23.541386833,87.293987333,84.30,0.009,0.050
1779273397859268822,2026-05-20 16:06:37.858,23.541394833,87.293991500,84.30,0.009,0.050
1779273398861773210,2026-05-20 16:06:38.860,23.541402667,87.293995667,84.40,0.009,0.050
1779273399855919950,2026-05-20 16:06:39.855,23.541410667,87.293999667,84.40,0.009,0.050
1779273400850204820,2026-05-20 16:06:40.849,23.541418667,87.294003833,84.40,0.009,0.050
1779273401857262690,2026-05-20 16:06:41.856,23.541426333,87.294007667,84.50,0.009,0.050
1779273402863758522,2026-05-20 16:06:42.862,23.541430333,87.294010000,84.50,0.009,0.050
1779273403858273281,2026-05-20 16:06:43.857,23.541432000,87.294011333,84.50,0.009,0.050
1779273404857603169,2026-05-20 16:06:44.856,23.541433167,87.294012333,84.50,0.009,0.050
1779273405858747798,2026-05-20 16:06:45.857,23.541434000,87.294013167,84.40,0.009,0.050
1779273406864738483,2026-05-20 16:06:46.863,23.541434500,87.294013833,84.40,0.009,0.050
1779273407856666519,2026-05-20 16:06:47.855,23.541435167,87.294014333,84.40,0.009,0.050
1779273408861506204,2026-05-20 16:06:48.860,23.541433833,87.294015667,84.40,0.009,0.050
1779273409852309611,2026-05-20 16:06:49.851,23.541427833,87.294019000,84.40,0.009,0.050
1779273410857479407,2026-05-20 16:06:50.856,23.541420167,87.294023167,84.40,0.009,0.050
1779273411863398054,2026-05-20 16:06:51.862,23.541412333,87.294027667,84.30,0.009,0.050
1779273412860149220,2026-05-20 16:06:52.859,23.541405000,87.294032500,84.30,0.009,0.050
1779273413857184127,2026-05-20 16:06:53.856,23.541397667,87.294037667,84.40,0.009,0.050
1779273414864869423,2026-05-20 16:06:54.863,23.541390333,87.294042833,84.40,0.009,0.050
1779273415856288441,2026-05-20 16:06:55.855,23.541383167,87.294048167,84.40,0.009,0.050
1779273416856891347,2026-05-20 16:06:56.855,23.541375833,87.294053500,84.40,0.009,0.050
1779273417858708680,2026-05-20 16:06:57.857,23.541368333,87.294058667,84.40,0.009,0.050
1779273418852392013,2026-05-20 16:06:58.851,23.541361000,87.294063833,84.40,0.009,0.050
1779273419855291660,2026-05-20 16:06:59.854,23.541353500,87.294069000,84.40,0.009,0.050
1779273420867924901,2026-05-20 16:07:00.867,23.541345833,87.294074000,84.40,0.009,0.050
1779273421858481215,2026-05-20 16:07:01.857,23.541338333,87.294079000,84.40,0.009,0.050
1779273422862468788,2026-05-20 16:07:02.861,23.541330500,87.294084000,84.40,0.009,0.050
1779273423855708417,2026-05-20 16:07:03.854,23.541322833,87.294089000,84.40,0.009,0.050
