Timestamp,Time,Roll,Pitch,Yaw,Magnetic_Field_X,Magnetic_Field_Y,Magnetic_Field_Z,Angular_Rate_X,Angular_Rate_Y,Angular_Rate_Z,Acceleration_X,Acceleration_Y,Acceleration_Z
1779273320114843109,2026-05-20 16:05:20.111,-2.072000,1.507000,233.346000,-0.262600,-0.200700,0.141000,-0.004213,0.013571,0.023666,0.189000,0.281000,-10.065000
1779273320123899368,2026-05-20 16:05:20.120,-2.080000,1.531000,233.383000,-0.263500,-0.197700,0.140900,-0.006096,0.014671,0.027559,0.361000,0.466000,-10.218000
1779273320146123294,2026-05-20 16:05:20.143,-2.088000,1.554000,233.428000,-0.261700,-0.202600,0.138900,-0.007520,0.015822,0.031850,0.329000,0.415000,-10.144000
1779273320156672516,2026-05-20 16:05:20.153,-2.092000,1.577000,233.480000,-0.263500,-0.199700,0.143100,-0.002286,0.016810,0.037662,0.295000,0.328000,-10.046000
1779273320201957998,2026-05-20 16:05:20.200,-2.103000,1.631000,233.619000,-0.263600,-0.201600,0.141000,-0.007091,0.017971,0.061655,0.305000,0.421000,-10.134000
1779273320212982924,2026-05-20 16:05:20.210,-2.111000,1.664000,233.715000,-0.264400,-0.197700,0.136600,-0.010048,0.018865,0.074987,0.337000,0.407000,-10.120000
1779273320237875609,2026-05-20 16:05:20.236,-2.118000,1.698000,233.838000,-0.263500,-0.196700,0.138800,-0.007021,0.019549,0.093188,0.503000,0.313000,-10.139000
1779273320262549516,2026-05-20 16:05:20.260,-2.127000,1.723000,233.994000,-0.264400,-0.195700,0.140900,-0.011139,0.010096,0.118144,0.343000,0.333000,-10.091000
1779273320298112183,2026-05-20 16:05:20.284,-2.138000,1.736000,234.190000,-0.263300,-0.188900,0.137600,-0.012473,-0.002695,0.147096,0.076000,0.304000,-10.228000
1779273320322605183,2026-05-20 16:05:20.317,-2.152000,1.739000,234.424000,-0.267100,-0.191700,0.138500,-0.014576,-0.007806,0.172471,0.148000,0.468000,-10.232000
1779273320434298775,2026-05-20 16:05:20.370,-2.162000,1.741000,234.686000,-0.266000,-0.186800,0.140700,-0.014029,-0.005812,0.190503,0.286000,0.377000,-10.132000
1779273320498912238,2026-05-20 16:05:20.489,-2.174000,1.744000,234.978000,-0.268900,-0.191700,0.136300,-0.013411,-0.006824,0.209693,0.399000,0.314000,-10.192000
1779273320567282368,2026-05-20 16:05:20.546,-2.185000,1.743000,235.293000,-0.269800,-0.189700,0.141600,-0.014742,-0.013465,0.224310,0.463000,0.239000,-10.202000
1779273320627745720,2026-05-20 16:05:20.619,-2.194000,1.737000,235.625000,-0.269800,-0.189700,0.139500,-0.013580,-0.015618,0.235937,0.607000,0.542000,-10.077000
1779273320657470386,2026-05-20 16:05:20.650,-2.198000,1.729000,235.970000,-0.271700,-0.190700,0.139400,-0.009726,-0.012468,0.242315,0.414000,0.384000,-10.088000
1779273320669962886,2026-05-20 16:05:20.668,-2.204000,1.722000,236.325000,-0.271600,-0.187700,0.143700,-0.008245,-0.012767,0.249737,0.075000,0.607000,-10.066000
1779273320682079183,2026-05-20 16:05:20.678,-2.206000,1.716000,236.687000,-0.270600,-0.183800,0.141500,-0.008543,-0.016458,0.249854,0.410000,0.233000,-10.253000
1779273320691853923,2026-05-20 16:05:20.690,-2.205000,1.703000,237.056000,-0.274400,-0.185700,0.138100,-0.004606,-0.020566,0.263571,0.343000,0.358000,-10.220000
1779273320705003627,2026-05-20 16:05:20.700,-2.203000,1.684000,237.432000,-0.273400,-0.183800,0.138100,-0.006470,-0.024015,0.265686,0.324000,0.483000,-10.047000
1779273320718052164,2026-05-20 16:05:20.712,-2.200000,1.670000,237.816000,-0.276100,-0.177800,0.138000,-0.000527,-0.017019,0.269378,0.353000,0.376000,-10.312000
1779273320726638701,2026-05-20 16:05:20.724,-2.197000,1.660000,238.208000,-0.275900,-0.171900,0.141200,-0.004544,-0.016506,0.271988,0.260000,0.299000,-10.271000
1779273320743931016,2026-05-20 16:05:20.740,-2.191000,1.640000,238.613000,-0.277900,-0.177800,0.136800,-0.004503,-0.025071,0.284540,0.200000,0.244000,-10.256000
1779273320755252090,2026-05-20 16:05:20.752,-2.187000,1.616000,239.027000,-0.280600,-0.171800,0.139800,-0.005227,-0.029156,0.287751,0.283000,0.555000,-10.307000
1779273320773900627,2026-05-20 16:05:20.770,-2.179000,1.598000,239.449000,-0.282400,-0.167900,0.139700,-0.001482,-0.019871,0.296491,0.143000,0.497000,-10.251000
1779273320793948164,2026-05-20 16:05:20.790,-2.172000,1.586000,239.878000,-0.281400,-0.165900,0.137600,-0.007786,-0.018459,0.305283,0.246000,0.439000,-10.204000
1779273320808282368,2026-05-20 16:05:20.806,-2.167000,1.569000,240.322000,-0.282400,-0.168900,0.137500,-0.005993,-0.027521,0.312891,0.286000,0.425000,-10.223000
1779273320818997442,2026-05-20 16:05:20.816,-2.162000,1.549000,240.780000,-0.286000,-0.163900,0.135200,-0.003076,-0.027962,0.319332,0.193000,0.481000,-10.175000
1779273320827256553,2026-05-20 16:05:20.826,-2.151000,1.535000,241.242000,-0.288700,-0.158900,0.136100,-0.002108,-0.019474,0.325219,0.254000,0.247000,-10.124000
1779273320834565460,2026-05-20 16:05:20.833,-2.142000,1.527000,241.716000,-0.286800,-0.158000,0.139400,-0.001115,-0.017791,0.332838,0.171000,0.522000,-10.163000
1779273320841725942,2026-05-20 16:05:20.840,-2.132000,1.514000,242.198000,-0.287600,-0.154000,0.141500,-0.001693,-0.023783,0.336965,0.297000,0.501000,-10.141000
1779273320851583942,2026-05-20 16:05:20.849,-2.120000,1.498000,242.679000,-0.291400,-0.156900,0.135900,-0.000294,-0.024891,0.340973,0.294000,0.343000,-10.141000
