Timestamp,Time,Roll,Pitch,Yaw,Velocity_Increment_X,Velocity_Increment_Y,Velocity_Increment_Z,Acceleration_X,Acceleration_Y,Acceleration_Z,Angular_Rate_X,Angular_Rate_Y,Angular_Rate_Z,Magnetic_Field_X,Magnetic_Field_Y,Magnetic_Field_Z,Pressure
1779273320887740886,2026-05-20 16:05:20.886,-0.407973,0.204343,139.610626,0.006567,-0.004532,0.978439,0.088357,-0.011892,9.779098,0.005144,0.001663,-0.347413,-0.465761,0.207459,-0.857969,98930.0000
1779273320986801201,2026-05-20 16:05:20.985,-0.458375,0.163231,141.619965,0.007188,-0.000928,0.977978,0.451127,0.000112,9.982110,0.005223,0.000026,-0.351907,-0.474856,0.188367,-0.856980,98934.0000
1779273321086530423,2026-05-20 16:05:21.085,-0.479856,0.130970,143.608612,0.008713,0.000546,0.977946,0.278223,-0.124844,9.858956,-0.001539,0.001760,-0.347819,-0.478859,0.175204,-0.858063,98934.0000
1779273321186530534,2026-05-20 16:05:21.185,-0.467123,0.095189,145.564453,0.009371,0.000607,0.977153,0.268801,-0.185497,9.799807,-0.006511,0.006671,-0.341683,-0.485864,0.158768,-0.858390,98926.0000
1779273321286846219,2026-05-20 16:05:21.285,-0.421915,0.054518,147.517700,0.008516,0.001653,0.976623,0.232563,-0.284711,9.866051,-0.013136,-0.000367,-0.340419,-0.492257,0.144418,-0.858782,98928.0000
1779273321386669552,2026-05-20 16:05:21.385,-0.351336,0.015618,149.506577,0.007815,-0.000505,0.978643,-0.097801,0.079614,9.762263,-0.011688,-0.003323,-0.345019,-0.497148,0.129202,-0.858593,98928.0000
1779273321486542126,2026-05-20 16:05:21.485,-0.287771,-0.008544,151.547546,0.007466,-0.002439,0.980500,-0.001140,0.358247,9.758142,-0.004691,0.004013,-0.364697,-0.500507,0.114645,-0.856659,98925.0000
1779273321586389478,2026-05-20 16:05:21.585,-0.245493,-0.007539,153.614227,0.006968,-0.004330,0.980716,0.004287,0.152001,9.829569,-0.005232,0.000041,-0.361084,-0.506329,0.097016,-0.857287,98928.0000
1779273321686894515,2026-05-20 16:05:21.685,-0.243336,-0.012382,155.649429,0.008456,-0.008152,0.979353,0.253731,0.112562,9.857474,0.011835,0.003550,-0.343319,-0.508556,0.080005,-0.858022,98939.0000
1779273321786397441,2026-05-20 16:05:21.785,-0.259310,-0.031887,157.633728,0.008483,-0.003395,0.977316,-0.190914,-0.188288,9.663782,0.008199,0.002615,-0.344765,-0.510752,0.065401,-0.857916,98929.0000
1779273321886528589,2026-05-20 16:05:21.885,-0.274642,-0.046160,159.582840,0.010504,-0.001211,0.977456,0.265904,-0.171259,9.866907,-0.005325,0.003856,-0.338520,-0.514116,0.049067,-0.855639,98932.0000
1779273321986020293,2026-05-20 16:05:21.984,-0.259590,-0.063865,161.542572,0.009139,0.000354,0.977886,-0.067956,-0.101165,9.840310,0.000432,0.012715,-0.345196,-0.517254,0.033502,-0.857585,98928.0000
1779273322086635885,2026-05-20 16:05:22.085,-0.214262,-0.071469,163.531433,0.007950,0.000513,0.978483,0.199193,-0.090935,9.960567,-0.004524,-0.000988,-0.346887,-0.517908,0.018096,-0.854799,98929.0000
1779273322186630830,2026-05-20 16:05:22.185,-0.154631,-0.072274,165.545624,0.008230,-0.000117,0.979540,0.147911,0.020570,9.800873,-0.008522,-0.006045,-0.355242,-0.517161,0.001075,-0.856509,98928.0000
1779273322286575811,2026-05-20 16:05:22.285,-0.111603,-0.058255,167.554932,0.009450,-0.004235,0.978572,0.110331,0.100416,9.712836,-0.004241,-0.005230,-0.348516,-0.519399,-0.016540,-0.857529,98930.0000
1779273322386860515,2026-05-20 16:05:22.385,-0.082619,-0.033838,169.539688,0.011289,-0.003594,0.978680,0.236131,0.241490,9.821690,0.001556,-0.008810,-0.343736,-0.516490,-0.031672,-0.856341,98928.0000
1779273322486655904,2026-05-20 16:05:22.485,-0.068639,-0.031221,171.497971,0.012450,-0.003410,0.978487,0.300948,0.042117,9.831655,-0.002558,-0.001729,-0.341362,-0.515070,-0.046804,-0.854814,98930.0000
1779273322586495441,2026-05-20 16:05:22.585,-0.057767,-0.057141,173.454803,0.012145,-0.004202,0.978061,0.331278,-0.078727,9.828295,-0.002958,0.005679,-0.342579,-0.515200,-0.063208,-0.855617,98928.0000
1779273322686284533,2026-05-20 16:05:22.685,-0.033237,-0.094397,175.420441,0.010280,-0.003277,0.978151,0.090125,-0.276095,9.781950,-0.004627,0.011511,-0.346598,-0.511123,-0.079261,-0.855636,98926.0000
1779273322786841422,2026-05-20 16:05:22.785,0.003475,-0.125757,177.395676,0.008976,-0.002700,0.978738,0.208516,-0.067411,9.969598,-0.000928,0.002703,-0.335019,-0.510020,-0.095305,-0.854679,98933.0000
